model,cadence_bars,cadence_minutes,cost_bps,phase_count,sleeve_count,mean_phase_break_even_cost_bps,median_phase_break_even_cost_bps,worst_phase_break_even_cost_bps,best_phase_break_even_cost_bps,mean_pooled_annualized_net_return,median_pooled_annualized_net_return,worst_pooled_annualized_net_return,best_pooled_annualized_net_return,positive_phase_fraction,mean_positive_sleeve_fraction,mean_pooled_turnover
ridge,1,5,1,1,12,0.313785721713,0.313785721713,0.313785721713,0.313785721713,-0.837470266558,-0.837470266558,-0.837470266558,-0.837470266558,0,0,1.39317457575
tcn,1,5,1,1,12,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0434753305995,-1.28850417889,-1.28850417889,-1.28850417889,-1.28850417889,0,0,1.40961184059
transformer,1,5,1,1,12,0.269975866632,0.269975866632,0.269975866632,0.269975866632,-0.645212726214,-0.645212726214,-0.645212726214,-0.645212726214,0,0,1.00893131383
lightgbm,3,15,1,3,4,0.415969124161,0.508240790814,0.187419108101,0.552247473568,-0.171495206663,-0.143525464714,-0.239149098689,-0.131811056586,0,0.25,0.335065845043
mlp,3,15,1,3,4,0.0527102575107,0.0577307797747,0.0123373352893,0.0880626574681,-1.23328914547,-1.22539002667,-1.28657771222,-1.18789969751,0,0,1.48619749674
momentum_12,3,15,1,3,4,-0.602972973476,-0.574671054368,-0.71801176094,-0.516236105119,-2.18783316574,-2.14973042199,-2.34869007905,-2.06507899619,0,0,1.55794075866
reversal_12,3,15,1,3,4,0.602073294852,0.578486966141,0.513353842232,0.714379076183,-0.542865014788,-0.575367039025,-0.662788693065,-0.390439312273,0,0,1.55781597942
ridge,3,15,1,3,4,0.31338276321,0.339725072442,0.203802463788,0.3966207534,-0.837470266558,-0.809416409081,-0.964322046713,-0.73867234388,0,0,1.39317457575
tcn,3,15,1,3,4,-0.0437082821601,-0.0363709486066,-0.162479967672,0.0677260697987,-1.28850417889,-1.27692127624,-1.43252117202,-1.1560700884,0,0,1.40961184059
transformer,3,15,1,3,4,0.27008188753,0.237864827532,0.237797285828,0.334583549231,-0.645212726214,-0.674224434091,-0.675235884894,-0.586177859656,0,0,1.00893131383
lightgbm,6,30,1,6,2,0.416167737867,0.418137530801,0.056543731618,0.766598402945,-0.171495206663,-0.172700603097,-0.275584423605,-0.0677882436627,0,0.25,0.335065845043
mlp,6,30,1,6,2,0.0526750052273,0.0370042836651,-0.0113904599488,0.14034265132,-1.23328914547,-1.2502065365,-1.32192577377,-1.12304103263,0,0,1.48619749674
momentum_12,6,30,1,6,2,-0.602965751694,-0.577764678105,-0.812046013169,-0.472774649392,-2.18783316574,-2.15059212925,-2.47829538455,-2.00603408528,0,0,1.55794075866
reversal_12,6,30,1,6,2,0.602062196372,0.582102331581,0.462157608507,0.806201414888,-0.542865014788,-0.569580251165,-0.732529071283,-0.265058940942,0,0,1.55781597942
ridge,6,30,1,6,2,0.313514743748,0.299790905998,0.109781911311,0.521660224852,-0.837470266558,-0.851534629764,-1.08508971982,-0.588226189913,0,0,1.39317457575
tcn,6,30,1,6,2,-0.0436014760327,-0.0360073287597,-0.285530190815,0.154477373402,-1.28850417889,-1.26850890539,-1.5909328964,-1.05127708103,0,0,1.40961184059
transformer,6,30,1,6,2,0.270029603726,0.284975762375,0.112700952609,0.362635600989,-0.645212726214,-0.626871427201,-0.784727093555,-0.564585269109,0,0,1.00893131383
lightgbm,12,60,1,12,1,0.418440366841,0.287810757165,-0.320258243315,1.38251536616,-0.171495206663,-0.20600437646,-0.397571089266,0.11219622442,0.25,0.25,0.335065845043
mlp,12,60,1,12,1,0.052860460388,0.0578939180386,-0.138749371507,0.215990268231,-1.23328914547,-1.22364252047,-1.48534391501,-1.01302292968,0,0,1.48619749674
momentum_12,12,60,1,12,1,-0.602938495381,-0.574258393071,-0.820859576711,-0.432640143241,-2.18783316574,-2.14680159662,-2.49540185162,-1.95722207378,0,0,1.55794075866
reversal_12,12,60,1,12,1,0.602025726264,0.571184659201,0.426940266137,0.813279676984,-0.542865014788,-0.584666088572,-0.782951673122,-0.255910203265,0,0,1.55781597942
ridge,12,60,1,12,1,0.313638394732,0.299116091911,-0.0383173832055,0.640830567169,-0.837470266558,-0.843554373607,-1.27262765737,-0.439079294977,0,0,1.39317457575
tcn,12,60,1,12,1,-0.0437478449263,-0.0194549242332,-0.295405813827,0.201181078122,-1.28850417889,-1.26086309578,-1.60413494869,-0.984684818392,0,0,1.40961184059
transformer,12,60,1,12,1,0.270048834822,0.317732333974,-0.162073028491,0.454630622905,-0.645212726214,-0.60661405153,-1.02917347416,-0.479229300726,0,0,1.00893131383
lightgbm,1,5,2,1,12,0.415724441158,0.415724441158,0.415724441158,0.415724441158,-0.465012886921,-0.465012886921,-0.465012886921,-0.465012886921,0,0,0.335065845043
mlp,1,5,2,1,12,0.0527071103261,0.0527071103261,0.0527071103261,0.0527071103261,-2.53519815261,-2.53519815261,-2.53519815261,-2.53519815261,0,0,1.48619749674
momentum_12,1,5,2,1,12,-0.603094617706,-0.603094617706,-0.603094617706,-0.603094617706,-3.55258927032,-3.55258927032,-3.55258927032,-3.55258927032,0,0,1.55794075866
reversal_12,1,5,2,1,12,0.602193757685,0.602193757685,0.602193757685,0.602193757685,-1.90751181276,-1.90751181276,-1.90751181276,-1.90751181276,0,0,1.55781597942
ridge,1,5,2,1,12,0.313785721713,0.313785721713,0.313785721713,0.313785721713,-2.05789119491,-2.05789119491,-2.05789119491,-2.05789119491,0,0,1.39317457575
tcn,1,5,2,1,12,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0434753305995,-2.52332415124,-2.52332415124,-2.52332415124,-2.52332415124,0,0,1.40961184059
transformer,1,5,2,1,12,0.269975866632,0.269975866632,0.269975866632,0.269975866632,-1.52903655713,-1.52903655713,-1.52903655713,-1.52903655713,0,0,1.00893131383
lightgbm,3,15,2,3,4,0.415969124161,0.508240790814,0.187419108101,0.552247473568,-0.465012886921,-0.435386729399,-0.533457149829,-0.426194781534,0,0,0.335065845043
mlp,3,15,2,3,4,0.0527102575107,0.0577307797747,0.0123373352893,0.0880626574681,-2.53519815261,-2.52585702736,-2.58922664104,-2.49051078943,0,0,1.48619749674
momentum_12,3,15,2,3,4,-0.602972973476,-0.574671054368,-0.71801176094,-0.516236105119,-3.55258927032,-3.51492375301,-3.71578786757,-3.42705619038,0,0,1.55794075866
reversal_12,3,15,2,3,4,0.602073294852,0.578486966141,0.513353842232,0.714379076183,-1.90751181276,-1.94037118553,-2.02474066266,-1.75742359009,0,0,1.55781597942
ridge,3,15,2,3,4,0.31338276321,0.339725072442,0.203802463788,0.3966207534,-2.05789119491,-2.0352942598,-2.17548134181,-1.96289798313,0,0,1.39317457575
tcn,3,15,2,3,4,-0.0437082821601,-0.0363709486066,-0.162479967672,0.0677260697987,-2.52332415124,-2.50902960381,-2.66481868412,-2.39612416581,0,0,1.40961184059
transformer,3,15,2,3,4,0.27008188753,0.237864827532,0.237797285828,0.334583549231,-1.52903655713,-1.55887647279,-1.56113654142,-1.46709665717,0,0,1.00893131383
lightgbm,6,30,2,6,2,0.416167737867,0.418137530801,0.056543731618,0.766598402945,-0.465012886921,-0.469568951404,-0.567685322016,-0.3582243183,0,0,0.335065845043
mlp,6,30,2,6,2,0.0526750052273,0.0370042836651,-0.0113904599488,0.14034265132,-2.53519815261,-2.54845377216,-2.62896378345,-2.42942320264,0,0,1.48619749674
momentum_12,6,30,2,6,2,-0.602965751694,-0.577764678105,-0.812046013169,-0.472774649392,-3.55258927032,-3.51492375301,-3.84597333894,-3.36811217788,0,0,1.55794075866
reversal_12,6,30,2,6,2,0.602062196372,0.582102331581,0.462157608507,0.806201414888,-1.90751181276,-1.93259165407,-2.09450626547,-1.63276211993,0,0,1.55781597942
ridge,6,30,2,6,2,0.313514743748,0.299790905998,0.109781911311,0.521660224852,-2.05789119491,-2.06766317157,-2.30399296792,-1.81795079254,0,0,1.39317457575
tcn,6,30,2,6,2,-0.0436014760327,-0.0360073287597,-0.285530190815,0.154477373402,-2.52332415124,-2.49938019016,-2.82850235045,-2.29462296907,0,0,1.40961184059
transformer,6,30,2,6,2,0.270029603726,0.284975762375,0.112700952609,0.362635600989,-1.52903655713,-1.50356510378,-1.66912688623,-1.45039763953,0,0,1.00893131383
lightgbm,12,60,2,12,1,0.418440366841,0.287810757165,-0.320258243315,1.38251536616,-0.465012886921,-0.495254894774,-0.698702395416,-0.181115454917,0,0,0.335065845043
mlp,12,60,2,12,1,0.052860460388,0.0578939180386,-0.138749371507,0.215990268231,-2.53519815261,-2.52250775889,-2.7897081168,-2.3051279746,0,0,1.48619749674
momentum_12,12,60,2,12,1,-0.602938495381,-0.574258393071,-0.820859576711,-0.432640143241,-3.55258927032,-3.51049406379,-3.86585451229,-3.32338655201,0,0,1.55794075866
reversal_12,12,60,2,12,1,0.602025726264,0.571184659201,0.426940266137,0.813279676984,-1.90751181276,-1.94810630972,-2.14921704976,-1.62646376236,0,0,1.55781597942
ridge,12,60,2,12,1,0.313638394732,0.299116091911,-0.0383173832055,0.640830567169,-2.05789119491,-2.04696971569,-2.49829109898,-1.66156443665,0,0,1.39317457575
tcn,12,60,2,12,1,-0.0437478449263,-0.0194549242332,-0.295405813827,0.201181078122,-2.52332415124,-2.49762536254,-2.84246114081,-2.21736069953,0,0,1.40961184059
transformer,12,60,2,12,1,0.270048834822,0.317732333974,-0.162073028491,0.454630622905,-1.52903655713,-1.4957560695,-1.91480927237,-1.35795355781,0,0,1.00893131383
lightgbm,1,5,5,1,12,0.415724441158,0.415724441158,0.415724441158,0.415724441158,-1.34556592769,-1.34556592769,-1.34556592769,-1.34556592769,0,0,0.335065845043
mlp,1,5,5,1,12,0.0527071103261,0.0527071103261,0.0527071103261,0.0527071103261,-6.44092517403,-6.44092517403,-6.44092517403,-6.44092517403,0,0,1.48619749674
momentum_12,1,5,5,1,12,-0.603094617706,-0.603094617706,-0.603094617706,-0.603094617706,-7.64685758407,-7.64685758407,-7.64685758407,-7.64685758407,0,0,1.55794075866
reversal_12,1,5,5,1,12,0.602193757685,0.602193757685,0.602193757685,0.602193757685,-6.00145220668,-6.00145220668,-6.00145220668,-6.00145220668,0,0,1.55781597942
ridge,1,5,5,1,12,0.313785721713,0.313785721713,0.313785721713,0.313785721713,-5.71915397998,-5.71915397998,-5.71915397998,-5.71915397998,0,0,1.39317457575
tcn,1,5,5,1,12,-0.0434753305995,-0.0434753305995,-0.0434753305995,-0.0434753305995,-6.22778406832,-6.22778406832,-6.22778406832,-6.22778406832,0,0,1.40961184059
transformer,1,5,5,1,12,0.269975866632,0.269975866632,0.269975866632,0.269975866632,-4.18050804987,-4.18050804987,-4.18050804987,-4.18050804987,0,0,1.00893131383
lightgbm,3,15,5,3,4,0.415969124161,0.508240790814,0.187419108101,0.552247473568,-1.34556592769,-1.31097052346,-1.41638130325,-1.30934595638,0,0,0.335065845043
mlp,3,15,5,3,4,0.0527102575107,0.0577307797747,0.0123373352893,0.0880626574681,-6.44092517403,-6.42725802942,-6.49717342749,-6.39834406517,0,0,1.48619749674
momentum_12,3,15,5,3,4,-0.602972973476,-0.574671054368,-0.71801176094,-0.516236105119,-7.64685758407,-7.6105037461,-7.81708123316,-7.51298777296,0,0,1.55794075866
reversal_12,3,15,5,3,4,0.602073294852,0.578486966141,0.513353842232,0.714379076183,-6.00145220668,-6.03538362506,-6.11059657142,-5.85837642354,0,0,1.55781597942
ridge,3,15,5,3,4,0.31338276321,0.339725072442,0.203802463788,0.3966207534,-5.71915397998,-5.71292781198,-5.80895922709,-5.63557490089,0,0,1.39317457575
tcn,3,15,5,3,4,-0.0437082821601,-0.0363709486066,-0.162479967672,0.0677260697987,-6.22778406832,-6.20535458654,-6.3617112204,-6.11628639801,0,0,1.40961184059
transformer,3,15,5,3,4,0.27008188753,0.237864827532,0.237797285828,0.334583549231,-4.18050804987,-4.2128325889,-4.21883851102,-4.1098530497,0,0,1.00893131383
lightgbm,6,30,5,6,2,0.416167737867,0.418137530801,0.056543731618,0.766598402945,-1.34556592769,-1.36017399632,-1.44398801725,-1.22953254221,0,0,0.335065845043
mlp,6,30,5,6,2,0.0526750052273,0.0370042836651,-0.0113904599488,0.14034265132,-6.44092517403,-6.44319547914,-6.55007781247,-6.34856971266,0,0,1.48619749674
momentum_12,6,30,5,6,2,-0.602965751694,-0.577764678105,-0.812046013169,-0.472774649392,-7.64685758407,-7.6105037461,-7.9490072021,-7.45434645569,0,0,1.55794075866
reversal_12,6,30,5,6,2,0.602062196372,0.582102331581,0.462157608507,0.806201414888,-6.00145220668,-6.02162586277,-6.18043784805,-5.73587165691,0,0,1.55781597942
ridge,6,30,5,6,2,0.313514743748,0.299790905998,0.109781911311,0.521660224852,-5.71915397998,-5.71604879701,-5.96070271222,-5.49626794972,0,0,1.39317457575
tcn,6,30,5,6,2,-0.0436014760327,-0.0360073287597,-0.285530190815,0.154477373402,-6.22778406832,-6.19506194552,-6.54121071258,-6.02466063321,0,0,1.40961184059
transformer,6,30,5,6,2,0.270029603726,0.284975762375,0.112700952609,0.362635600989,-4.18050804987,-4.13538583807,-4.32232626426,-4.10783475078,0,0,1.00893131383
