model,cadence_bars,cadence_minutes,phase,phase_offset_minutes,sleeve_count,capital_fraction_per_sleeve,selected_cohorts,cost_bps,total_periods,total_gross_log_return,total_turnover,break_even_cost_bps,equal_weighted_gross_mean_return,pooled_gross_mean_return,equal_weighted_mean_turnover,pooled_mean_turnover,equal_weighted_net_mean_return,pooled_net_mean_return,equal_weighted_annualized_net_return,pooled_annualized_net_return,positive_sleeve_fraction,all_sleeves_positive
lightgbm,6,30,4,20,2,0.5,"4,10",1,8682,0.0163694103034,2895,0.056543731618,1.88544232935e-06,1.88544232935e-06,0.333448514167,0.333448514167,-3.14594090874e-05,-3.14594090874e-05,-0.275584423606,-0.275584423605,0,False
lightgbm,6,30,4,20,2,0.5,"4,10",2,8682,0.0163694103034,2895,0.056543731618,1.88544232935e-06,1.88544232935e-06,0.333448514167,0.333448514167,-6.48042605042e-05,-6.48042605041e-05,-0.567685322016,-0.567685322016,0,False
lightgbm,6,30,4,20,2,0.5,"4,10",5,8682,0.0163694103034,2895,0.056543731618,1.88544232935e-06,1.88544232935e-06,0.333448514167,0.333448514167,-0.000164838814754,-0.000164838814754,-1.44398801725,-1.44398801725,0,False
lightgbm,6,30,4,20,2,0.5,"4,10",10,8682,0.0163694103034,2895,0.056543731618,1.88544232935e-06,1.88544232935e-06,0.333448514167,0.333448514167,-0.000331563071838,-0.000331563071838,-2.9044925093,-2.9044925093,0,False
lightgbm,6,30,5,25,2,0.5,"5,11",0,8682,0.220665350288,2878.5,0.766598402945,2.5416419061e-05,2.5416419061e-05,0.331548030408,0.331548030408,2.5416419061e-05,2.5416419061e-05,0.222647830974,0.222647830974,1,True
lightgbm,6,30,5,25,2,0.5,"5,11",1,8682,0.220665350288,2878.5,0.766598402945,2.5416419061e-05,2.5416419061e-05,0.331548030408,0.331548030408,-7.73838397985e-06,-7.73838397976e-06,-0.0677882436635,-0.0677882436627,0.5,False
lightgbm,6,30,5,25,2,0.5,"5,11",2,8682,0.220665350288,2878.5,0.766598402945,2.5416419061e-05,2.5416419061e-05,0.331548030408,0.331548030408,-4.08931870207e-05,-4.08931870205e-05,-0.358224318301,-0.3582243183,0,False
lightgbm,6,30,5,25,2,0.5,"5,11",5,8682,0.220665350288,2878.5,0.766598402945,2.5416419061e-05,2.5416419061e-05,0.331548030408,0.331548030408,-0.000140357596143,-0.000140357596143,-1.22953254221,-1.22953254221,0,False
lightgbm,6,30,5,25,2,0.5,"5,11",10,8682,0.220665350288,2878.5,0.766598402945,2.5416419061e-05,2.5416419061e-05,0.331548030408,0.331548030408,-0.000306131611347,-0.000306131611347,-2.6817129154,-2.6817129154,0,False
lightgbm,12,60,0,0,1,1,0,0,4341,0.200948608471,1453.5,1.38251536616,4.62908565932e-05,4.62908565932e-05,0.334830684174,0.334830684174,4.62908565932e-05,4.62908565932e-05,0.405507903756,0.405507903756,1,True
lightgbm,12,60,0,0,1,1,0,1,4341,0.200948608471,1453.5,1.38251536616,4.62908565932e-05,4.62908565932e-05,0.334830684174,0.334830684174,1.28077881758e-05,1.28077881758e-05,0.11219622442,0.11219622442,1,True
lightgbm,12,60,0,0,1,1,0,2,4341,0.200948608471,1453.5,1.38251536616,4.62908565932e-05,4.62908565932e-05,0.334830684174,0.334830684174,-2.06752802416e-05,-2.06752802416e-05,-0.181115454916,-0.181115454917,0,False
lightgbm,12,60,0,0,1,1,0,5,4341,0.200948608471,1453.5,1.38251536616,4.62908565932e-05,4.62908565932e-05,0.334830684174,0.334830684174,-0.000121124485494,-0.000121124485494,-1.06105049293,-1.06105049293,0,False
lightgbm,12,60,0,0,1,1,0,10,4341,0.200948608471,1453.5,1.38251536616,4.62908565932e-05,4.62908565932e-05,0.334830684174,0.334830684174,-0.000288539827581,-0.000288539827581,-2.52760888961,-2.52760888961,0,False
lightgbm,12,60,1,5,1,1,1,0,4341,0.109295814326,1459.25,0.748986221182,2.51775660738e-05,2.51775660737e-05,0.336155263764,0.336155263764,2.51775660738e-05,2.51775660737e-05,0.220555478806,0.220555478806,1,True
lightgbm,12,60,1,5,1,1,1,1,4341,0.109295814326,1459.25,0.748986221182,2.51775660738e-05,2.51775660737e-05,0.336155263764,0.336155263764,-8.4379603026e-06,-8.4379603027e-06,-0.0739165322508,-0.0739165322516,0,False
lightgbm,12,60,1,5,1,1,1,2,4341,0.109295814326,1459.25,0.748986221182,2.51775660738e-05,2.51775660737e-05,0.336155263764,0.336155263764,-4.2053486679e-05,-4.20534866791e-05,-0.368388543308,-0.368388543309,0,False
lightgbm,12,60,1,5,1,1,1,5,4341,0.109295814326,1459.25,0.748986221182,2.51775660738e-05,2.51775660737e-05,0.336155263764,0.336155263764,-0.000142900065808,-0.000142900065808,-1.25180457648,-1.25180457648,0,False
lightgbm,12,60,1,5,1,1,1,10,4341,0.109295814326,1459.25,0.748986221182,2.51775660738e-05,2.51775660737e-05,0.336155263764,0.336155263764,-0.00031097769769,-0.00031097769769,-2.72416463177,-2.72416463177,0,False
lightgbm,12,60,2,10,1,1,2,0,4341,0.0727170688214,1451.75,0.500892500922,1.67512252526e-05,1.67512252526e-05,0.334427551255,0.334427551255,1.67512252526e-05,1.67512252526e-05,0.146740733213,0.146740733213,1,True
lightgbm,12,60,2,10,1,1,2,1,4341,0.0727170688214,1451.75,0.500892500922,1.67512252526e-05,1.67512252526e-05,0.334427551255,0.334427551255,-1.66915298729e-05,-1.6691529873e-05,-0.146217801687,-0.146217801687,0,False
lightgbm,12,60,2,10,1,1,2,2,4341,0.0727170688214,1451.75,0.500892500922,1.67512252526e-05,1.67512252526e-05,0.334427551255,0.334427551255,-5.01342849984e-05,-5.01342849985e-05,-0.439176336586,-0.439176336587,0,False
lightgbm,12,60,2,10,1,1,2,5,4341,0.0727170688214,1451.75,0.500892500922,1.67512252526e-05,1.67512252526e-05,0.334427551255,0.334427551255,-0.000150462550375,-0.000150462550375,-1.31805194128,-1.31805194129,0,False
lightgbm,12,60,2,10,1,1,2,10,4341,0.0727170688214,1451.75,0.500892500922,1.67512252526e-05,1.67512252526e-05,0.334427551255,0.334427551255,-0.000317676326002,-0.000317676326003,-2.78284461578,-2.78284461579,0,False
lightgbm,12,60,3,15,1,1,3,0,4341,0.171408299432,1440.25,1.19012879314,3.94859017352e-05,3.94859017351e-05,0.331778392076,0.331778392076,3.94859017352e-05,3.94859017351e-05,0.3458964992,0.345896499199,1,True
lightgbm,12,60,3,15,1,1,3,1,4341,0.171408299432,1440.25,1.19012879314,3.94859017352e-05,3.94859017351e-05,0.331778392076,0.331778392076,6.3080625276e-06,6.30806252753e-06,0.0552586277418,0.0552586277411,1,True
lightgbm,12,60,3,15,1,1,3,2,4341,0.171408299432,1440.25,1.19012879314,3.94859017352e-05,3.94859017351e-05,0.331778392076,0.331778392076,-2.686977668e-05,-2.686977668e-05,-0.235379243717,-0.235379243717,0,False
lightgbm,12,60,3,15,1,1,3,5,4341,0.171408299432,1440.25,1.19012879314,3.94859017352e-05,3.94859017351e-05,0.331778392076,0.331778392076,-0.000126403294303,-0.000126403294303,-1.10729285809,-1.10729285809,0,False
lightgbm,12,60,3,15,1,1,3,10,4341,0.171408299432,1440.25,1.19012879314,3.94859017352e-05,3.94859017351e-05,0.331778392076,0.331778392076,-0.000292292490341,-0.00029229249034,-2.56048221539,-2.56048221538,0,False
lightgbm,12,60,4,20,1,1,4,0,4341,0.0410496575871,1439.5,0.285166082578,9.45626758514e-06,9.45626758514e-06,0.331605620825,0.331605620825,9.45626758514e-06,9.45626758514e-06,0.0828369040458,0.0828369040458,1,True
lightgbm,12,60,4,20,1,1,4,1,4341,0.0410496575871,1439.5,0.285166082578,9.45626758514e-06,9.45626758514e-06,0.331605620825,0.331605620825,-2.37042944974e-05,-2.37042944973e-05,-0.207649619797,-0.207649619797,0,False
lightgbm,12,60,4,20,1,1,4,2,4341,0.0410496575871,1439.5,0.285166082578,9.45626758514e-06,9.45626758514e-06,0.331605620825,0.331605620825,-5.68648565799e-05,-5.68648565798e-05,-0.49813614364,-0.498136143639,0,False
lightgbm,12,60,4,20,1,1,4,5,4341,0.0410496575871,1439.5,0.285166082578,9.45626758514e-06,9.45626758514e-06,0.331605620825,0.331605620825,-0.000156346542827,-0.000156346542827,-1.36959571517,-1.36959571517,0,False
lightgbm,12,60,4,20,1,1,4,10,4341,0.0410496575871,1439.5,0.285166082578,9.45626758514e-06,9.45626758514e-06,0.331605620825,0.331605620825,-0.00032214935324,-0.00032214935324,-2.82202833438,-2.82202833438,0,False
lightgbm,12,60,5,25,1,1,5,0,4341,0.0414552514967,1427.25,0.290455431751,9.5497008746e-06,9.54970087461e-06,0.328783690394,0.328783690394,9.5497008746e-06,9.54970087461e-06,0.0836553796615,0.0836553796616,1,True
lightgbm,12,60,5,25,1,1,5,1,4341,0.0414552514967,1427.25,0.290455431751,9.5497008746e-06,9.54970087461e-06,0.328783690394,0.328783690394,-2.33286681648e-05,-2.33286681648e-05,-0.204359133124,-0.204359133123,0,False
lightgbm,12,60,5,25,1,1,5,2,4341,0.0414552514967,1427.25,0.290455431751,9.5497008746e-06,9.54970087461e-06,0.328783690394,0.328783690394,-5.62070372042e-05,-5.62070372042e-05,-0.492373645909,-0.492373645909,0,False
lightgbm,12,60,5,25,1,1,5,5,4341,0.0414552514967,1427.25,0.290455431751,9.5497008746e-06,9.54970087461e-06,0.328783690394,0.328783690394,-0.000154842144322,-0.000154842144322,-1.35641718426,-1.35641718426,0,False
lightgbm,12,60,5,25,1,1,5,10,4341,0.0414552514967,1427.25,0.290455431751,9.5497008746e-06,9.54970087461e-06,0.328783690394,0.328783690394,-0.000319233989519,-0.000319233989519,-2.79648974819,-2.79648974819,0,False
lightgbm,12,60,6,30,1,1,6,0,4341,-0.0477905363587,1492.25,-0.320258243315,-1.10091076615e-05,-1.10091076615e-05,0.343757198802,0.343757198802,-1.10091076615e-05,-1.10091076615e-05,-0.0964397831147,-0.096439783115,0,False
lightgbm,12,60,6,30,1,1,6,1,4341,-0.0477905363587,1492.25,-0.320258243315,-1.10091076615e-05,-1.10091076615e-05,0.343757198802,0.343757198802,-4.53848275417e-05,-4.53848275417e-05,-0.397571089265,-0.397571089266,0,False
lightgbm,12,60,6,30,1,1,6,2,4341,-0.0477905363587,1492.25,-0.320258243315,-1.10091076615e-05,-1.10091076615e-05,0.343757198802,0.343757198802,-7.97605474219e-05,-7.9760547422e-05,-0.698702395416,-0.698702395416,0,False
lightgbm,12,60,6,30,1,1,6,5,4341,-0.0477905363587,1492.25,-0.320258243315,-1.10091076615e-05,-1.10091076615e-05,0.343757198802,0.343757198802,-0.000182887707063,-0.000182887707063,-1.60209631387,-1.60209631387,0,False
