model,horizon_bars,horizon_minutes,fold,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps
lightgbm,12,60,2,0.0180746678566,0.0259772445998,0.31259777205,0.0578208467003,0.521940700809,0.00368125851604,0.00249944577789,351120,17556
lightgbm,12,60,3,0.0190117667719,0.0198928670005,0.331576343338,0.0573375246875,0.510415666699,0.0050359085486,0.00306363432637,351120,17556
mlp,12,60,1,0.00445732618243,0.00601503759398,0.263838072133,0.0168941735603,0.509187279152,0.00438718235731,0.00294177596769,339600,16980
mlp,12,60,2,0.0230181080136,0.0255639097744,0.263532016611,0.0873446358041,0.534347231716,0.00369695301876,0.00251829234238,351120,17556
mlp,12,60,3,0.00616182799455,0.0105263157895,0.262242580285,0.0234966723857,0.513328776487,0.00505593671505,0.00308196477831,351120,17556
momentum_12,12,60,1,-0.0393046399498,-0.0428732636562,0.312104529359,-0.125934218355,0.449293286219,0.00959638043362,0.00640142605566,339600,16980
momentum_12,12,60,2,-0.0552763368761,-0.0616541353383,0.301351912062,-0.183427861791,0.423957621326,0.00733246937904,0.00512730783218,351120,17556
momentum_12,12,60,3,-0.037463199245,-0.0390977443609,0.31634465443,-0.118425264092,0.454830257462,0.00951195429544,0.00624859731452,351120,17556
reversal_12,12,60,1,0.0393046399498,0.0428732636562,0.312104529359,0.125934218355,0.54964664311,0.00951516743531,0.00633854542621,339600,16980
reversal_12,12,60,2,0.0552763368761,0.0616541353383,0.301351912062,0.183427861791,0.574447482342,0.00721796439603,0.004995677104,351120,17556
reversal_12,12,60,3,0.037463199245,0.0390977443609,0.31634465443,0.118425264092,0.543859649123,0.00946148958902,0.00615341331865,351120,17556
ridge,12,60,1,0.0115246048137,0.0135338345865,0.292013329106,0.0394660231744,0.516431095406,0.00433376054553,0.00286445750139,339600,16980
ridge,12,60,2,0.0128773030312,0.0135338345865,0.273316178893,0.0471150412075,0.517543859649,0.00368315923431,0.0025011373667,351120,17556
ridge,12,60,3,0.00479595697445,0.00300751879699,0.307649602553,0.0155890237941,0.503873319663,0.00503663561616,0.00306454312156,351120,17556
tcn,12,60,1,0.00349627547844,0.00451127819549,0.267921422487,0.0130496301714,0.506713780919,0.00436009786355,0.00289635669819,339600,16980
tcn,12,60,2,-0.00254212867035,-0.0015037593985,0.256449668059,-0.00991277816655,0.496810207337,0.0038459798086,0.00266601607758,351120,17556
tcn,12,60,3,0.00394147072411,0.00751879699248,0.286816530222,0.0137421323696,0.510025062657,0.00504858127482,0.00307284778218,351120,17556
transformer,12,60,1,0.015856290088,0.0165413533835,0.361509302042,0.0438613612387,0.514252061249,0.0044028202348,0.00294447591145,339600,16980
transformer,12,60,2,0.0309494007092,0.0345864661654,0.344004182678,0.0899680941908,0.53354978355,0.00372657392117,0.00253872607775,351120,17556
transformer,12,60,3,0.00366296400467,0.00601503759398,0.266064686459,0.0137671934349,0.507575757576,0.00520722090788,0.00325942394067,351120,17556
lightgbm,24,120,1,0.00622157496721,0.00430538330526,0.301250077182,0.0206525257202,0.503159511014,0.00605861132911,0.00402208623671,339360,16968
lightgbm,24,120,2,0.0218831071633,0.0274204248554,0.311337035344,0.0702875169963,0.524959568733,0.00512574418388,0.00346880900817,350880,17544
lightgbm,24,120,3,0.0213669225857,0.0272693469847,0.333329385057,0.0641015270288,0.513487568398,0.007088272841,0.00431166433056,350880,17544
mlp,24,120,1,0.00577028056749,0.00601503759398,0.261463835396,0.022069134566,0.508250825083,0.00609914291996,0.00408291546159,339360,16968
mlp,24,120,2,0.0205301373736,0.0210526315789,0.261964666906,0.0783698718459,0.531520747834,0.00513725340901,0.00348229617738,350880,17544
mlp,24,120,3,0.0096779621646,0.00902255639098,0.261890249694,0.0369542668195,0.511741906065,0.00710348780742,0.0043217383467,350880,17544
momentum_12,24,120,1,-0.0336465443502,-0.0375939849624,0.310175078822,-0.10847597582,0.449964639321,0.0104848252586,0.00713196577886,339360,16968
momentum_12,24,120,2,-0.0514420026693,-0.0541353383459,0.305103221888,-0.168605242353,0.431600547196,0.00818118523474,0.00576553767499,350880,17544
momentum_12,24,120,3,-0.0325185429934,-0.0345864661654,0.315212146556,-0.103163990819,0.455312357501,0.0107662415584,0.00705441196122,350880,17544
reversal_12,24,120,1,0.0336465443502,0.0375939849624,0.310175078822,0.10847597582,0.547972654408,0.0104188582493,0.007053055283,339360,16968
reversal_12,24,120,2,0.0514420026693,0.0541353383459,0.305103221888,0.168605242353,0.566233470132,0.00802628336748,0.00557821166553,350880,17544
reversal_12,24,120,3,0.0325185429934,0.0345864661654,0.315212146556,0.103163990819,0.543376652987,0.0106732098683,0.00694703645242,350880,17544
ridge,24,120,1,0.00507369942136,0.00751879699248,0.292526975673,0.0173443813504,0.509370579915,0.00606292366431,0.00402290289607,339360,16968
ridge,24,120,2,0.00746269652506,0.00790195837232,0.274461354425,0.0271903362887,0.511228910169,0.00512705131462,0.00346958013752,350880,17544
ridge,24,120,3,-0.00120046618015,-0.00451127819549,0.306521179277,-0.00391642164166,0.494186046512,0.00708765710588,0.00431214429049,350880,17544
tcn,24,120,1,0.00184668085173,0.00451127819549,0.268340917603,0.00688184593026,0.504243281471,0.00608078263986,0.00404649492146,339360,16968
tcn,24,120,2,-0.00444120765655,-0.00300751879699,0.255300598246,-0.0173959939266,0.494186046512,0.00524692020942,0.0035987483039,350880,17544
tcn,24,120,3,0.010092649404,0.0105263157895,0.282970123705,0.0356668374449,0.514762881897,0.00709781514349,0.00431624723542,350880,17544
transformer,24,120,1,0.0176643354432,0.018045112782,0.359207340818,0.0491758754234,0.517562470533,0.00610720082677,0.00407809184618,339360,16968
transformer,24,120,2,0.0415332717808,0.0481203007519,0.342978521522,0.121095838878,0.548905608755,0.00515618848065,0.00348800721263,350880,17544
transformer,24,120,3,0.00542127673216,0.00451127819549,0.265382792452,0.020428139602,0.50626994984,0.00721028040245,0.00445487847977,350880,17544
