model,fold,regime_dimension,regime,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
lightgbm,2,direction,flat,1,7283,12,-0.156452560768,1556.5,0.213716874914,-1.00515618868,-2.14818839445e-05,-4.28535714359e-05,-4.28153204995e-05,-0.375397285778,-0.375062207575,-0.864339030693,0.299425318015,0.166666666667
lightgbm,2,direction,up,0,5029,12,0.481850597796,1864.25,0.370699940346,2.58468873701,9.58143960621e-05,9.58143960621e-05,9.63184607874e-05,0.839334109504,0.843749716497,0.0549394610706,1.85486268956,1
lightgbm,2,direction,up,0.5,5029,12,0.481850597796,1864.25,0.370699940346,2.58468873701,9.58143960621e-05,7.72793990448e-05,7.77853545739e-05,0.676967535632,0.681399706067,-0.110601812514,1.681376137,0.833333333333
lightgbm,2,direction,up,1,5029,12,0.481850597796,1864.25,0.370699940346,2.58468873701,9.58143960621e-05,5.87444020275e-05,5.92522483603e-05,0.514600961761,0.519049695637,-0.276143086099,1.50788958443,0.75
lightgbm,2,dispersion,high,0,4084,12,0.218366509931,2319.5,0.567948090108,0.941437852687,5.34687830389e-05,5.34687830389e-05,5.26070500227e-05,0.468386539421,0.460837758199,-1.12349366162,1.66668164488,0.666666666667
lightgbm,2,dispersion,high,0.5,4084,12,0.218366509931,2319.5,0.567948090108,0.941437852687,5.34687830389e-05,2.50713785335e-05,2.42099684691e-05,0.219625275953,0.21207932379,-1.38351578551,1.42174743435,0.666666666667
lightgbm,2,dispersion,high,1,4084,12,0.218366509931,2319.5,0.567948090108,0.941437852687,5.34687830389e-05,-3.32602597188e-06,-4.18711308438e-06,-0.0291359875137,-0.0366791106191,-1.64353790941,1.17681322382,0.583333333333
lightgbm,2,dispersion,low,0,7759,12,-0.146402679297,1154.5,0.148794947803,-1.26810462795,-1.88687561925e-05,-1.88687561925e-05,-1.97643579246e-05,-0.165290304246,-0.17313577542,-1.06253889144,0.389672173773,0.333333333333
lightgbm,2,dispersion,low,0.5,7759,12,-0.146402679297,1154.5,0.148794947803,-1.26810462795,-1.88687561925e-05,-2.63085035826e-05,-2.72015459675e-05,-0.230462491383,-0.238285542675,-1.12915285613,0.326767918454,0.333333333333
lightgbm,2,dispersion,low,1,7759,12,-0.146402679297,1154.5,0.148794947803,-1.26810462795,-1.88687561925e-05,-3.37482509727e-05,-3.46387340104e-05,-0.295634678521,-0.303435309931,-1.19576682082,0.263863663135,0.25
lightgbm,2,dispersion,medium,0,5713,12,0.142675972363,1824.75,0.319403115701,0.781893258602,2.49739142943e-05,2.49739142943e-05,2.46156891331e-05,0.218771489218,0.215633436806,-0.743171538381,1.33802050819,0.666666666667
lightgbm,2,dispersion,medium,0.5,5713,12,0.142675972363,1824.75,0.319403115701,0.781893258602,2.49739142943e-05,9.00375850927e-06,8.64488752218e-06,0.0788729245412,0.0757292146943,-0.882823712294,1.19816869582,0.583333333333
lightgbm,2,dispersion,medium,1,5713,12,0.142675972363,1824.75,0.319403115701,0.781893258602,2.49739142943e-05,-6.96639727578e-06,-7.32591408875e-06,-0.0610256401359,-0.0641750074175,-1.02247588621,1.05831688345,0.416666666667
lightgbm,2,volatility,high,0,3012,12,0.252248850627,2452.75,0.814326029216,1.02843278209,8.37479583754e-05,8.37479583754e-05,8.53112677162e-05,0.733632115368,0.747326705194,-1.42999994882,2.18362758922,0.75
lightgbm,2,volatility,high,0.5,3012,12,0.252248850627,2452.75,0.814326029216,1.02843278209,8.37479583754e-05,4.30316569146e-05,4.45985509718e-05,0.376957314571,0.390683306513,-1.77825288999,1.84782758922,0.75
lightgbm,2,volatility,high,1,3012,12,0.252248850627,2452.75,0.814326029216,1.02843278209,8.37479583754e-05,2.31535545373e-06,3.8858342273e-06,0.0202825137747,0.0340399078312,-2.12650583117,1.51202758922,0.75
lightgbm,2,volatility,low,0,9208,12,-0.182029717368,1023,0.111099044309,-1.77937162628,-1.97686487151e-05,-1.97686487151e-05,-1.98229883236e-05,-0.173173362744,-0.173649377715,-0.458962412122,0.194232781815,0.166666666667
lightgbm,2,volatility,low,0.5,9208,12,-0.182029717368,1023,0.111099044309,-1.77937162628,-1.97686487151e-05,-2.53236009305e-05,-2.53771656299e-05,-0.221834744152,-0.222303970918,-0.504212743248,0.143342442389,0.166666666667
lightgbm,2,volatility,low,1,9208,12,-0.182029717368,1023,0.111099044309,-1.77937162628,-1.97686487151e-05,-3.0878553146e-05,-3.09313429363e-05,-0.270496125559,-0.270958564122,-0.549463074373,0.0924521029634,0.0833333333333
lightgbm,2,volatility,medium,0,5336,12,0.144420669739,1823,0.34164167916,0.792214315627,2.70653429046e-05,2.70653429046e-05,2.69181175652e-05,0.237092403844,0.235802709871,-0.351098922543,0.79347254043,0.833333333333
lightgbm,2,volatility,medium,0.5,5336,12,0.144420669739,1823,0.34164167916,0.792214315627,2.70653429046e-05,9.98325894654e-06,9.83495160639e-06,0.0874533483717,0.086154176072,-0.494234572767,0.642940937722,0.5
lightgbm,2,volatility,medium,1,5336,12,0.144420669739,1823,0.34164167916,0.792214315627,2.70653429046e-05,-7.09882501148e-06,-7.24821435238e-06,-0.0621857071005,-0.0634943577268,-0.637370222991,0.492409335013,0.333333333333
lightgbm,3,direction,down,0,5920,12,0.425609107845,1082.25,0.1828125,3.93263208912,7.18934303793e-05,7.18934303793e-05,7.19395911077e-05,0.629786450123,0.630190818103,-0.340544920626,1.55790969283,0.75
lightgbm,3,direction,down,0.5,5920,12,0.425609107845,1082.25,0.1828125,3.93263208912,7.18934303793e-05,6.27528053793e-05,6.27946715275e-05,0.549714575123,0.550081322581,-0.420555811715,1.47340666253,0.75
lightgbm,3,direction,down,1,5920,12,0.425609107845,1082.25,0.1828125,3.93263208912,7.18934303793e-05,5.36121803793e-05,5.36497519473e-05,0.469642700123,0.469971827058,-0.500566702804,1.38890363222,0.75
lightgbm,3,direction,flat,0,5897,12,0.468591484252,598.75,0.10153467865,7.82616257623,7.94626902242e-05,7.94626902242e-05,7.76390347068e-05,0.696093166364,0.680117944032,-0.491863969345,1.78689354482,0.75
lightgbm,3,direction,flat,0.5,5897,12,0.468591484252,598.75,0.10153467865,7.82616257623,7.94626902242e-05,7.43859562917e-05,7.25575616119e-05,0.651620977115,0.63560423972,-0.539571438225,1.74867589776,0.666666666667
lightgbm,3,direction,flat,1,5897,12,0.468591484252,598.75,0.10153467865,7.82616257623,7.94626902242e-05,6.93092223592e-05,6.7476088517e-05,0.607148787866,0.591090535409,-0.587278907105,1.7104582507,0.666666666667
lightgbm,3,direction,up,0,5739,12,0.375009862188,1029.25,0.179343091131,3.64352550098,6.5344112596e-05,6.5344112596e-05,6.61334388307e-05,0.572414426341,0.579328924157,-0.675146424103,2.20244179245,0.75
lightgbm,3,direction,up,0.5,5739,12,0.375009862188,1029.25,0.179343091131,3.64352550098,6.5344112596e-05,5.63769580395e-05,5.71609773043e-05,0.493862152426,0.500730161186,-0.749680037549,2.1199133714,0.75
lightgbm,3,direction,up,1,5739,12,0.375009862188,1029.25,0.179343091131,3.64352550098,6.5344112596e-05,4.74098034829e-05,4.81885157779e-05,0.41530987851,0.422131398215,-0.824213650994,2.03738495035,0.666666666667
lightgbm,3,dispersion,high,0,8276,12,0.797990190853,2020.75,0.244169888835,3.94898028382,9.64222076913e-05,9.64222076913e-05,9.64947826016e-05,0.844658539376,0.84529429559,0.0752179108224,1.96606921831,1
lightgbm,3,dispersion,high,0.5,8276,12,0.797990190853,2020.75,0.244169888835,3.94898028382,9.64222076913e-05,8.42137132495e-05,8.42872461972e-05,0.737712128066,0.738356276687,-0.0307653008564,1.85371683047,0.833333333333
lightgbm,3,dispersion,high,1,8276,12,0.797990190853,2020.75,0.244169888835,3.94898028382,9.64222076913e-05,7.20052188078e-05,7.20797097927e-05,0.630765716756,0.631418257784,-0.136748512535,1.74136444262,0.833333333333
lightgbm,3,dispersion,low,0,4198,12,0.370381332386,200.75,0.0478203906622,18.4498795709,8.82280448751e-05,8.82280448751e-05,8.84022862409e-05,0.772877673106,0.77440402747,-0.186736242342,1.41170022729,0.833333333333
lightgbm,3,dispersion,low,0.5,4198,12,0.370381332386,200.75,0.0478203906622,18.4498795709,8.82280448751e-05,8.5837025342e-05,8.60141902118e-05,0.751932341996,0.753484306256,-0.213380159256,1.39295430338,0.833333333333
lightgbm,3,dispersion,low,1,4198,12,0.370381332386,200.75,0.0478203906622,18.4498795709,8.82280448751e-05,8.34460058088e-05,8.36260941828e-05,0.730987010885,0.732564585041,-0.24002407617,1.37420837946,0.833333333333
lightgbm,3,dispersion,medium,0,5082,12,0.100838931047,488.75,0.0961727666273,2.06320063524,1.98423713198e-05,1.98423713198e-05,1.94560752586e-05,0.173819172761,0.170435219265,-1.15171584107,1.09393287754,0.583333333333
lightgbm,3,dispersion,medium,0.5,5082,12,0.100838931047,488.75,0.0961727666273,2.06320063524,1.98423713198e-05,1.50337329884e-05,1.46465480117e-05,0.131695500979,0.128303760582,-1.19261955337,1.05441990585,0.583333333333
lightgbm,3,dispersion,medium,1,5082,12,0.100838931047,488.75,0.0961727666273,2.06320063524,1.98423713198e-05,1.02250946571e-05,9.83702076483e-06,0.0895718291959,0.0861723018999,-1.23352326566,1.01490693415,0.416666666667
lightgbm,3,volatility,high,0,5827,12,1.26765874031,1757.75,0.301656083748,7.21182614315,0.000217549123101,0.000217549123101,0.000217450290052,1.90573031837,1.90486454085,0.975818128791,2.77407549277,1
lightgbm,3,volatility,high,0.5,5827,12,1.26765874031,1757.75,0.301656083748,7.21182614315,0.000217549123101,0.000202466318914,0.000202369080469,1.77360495369,1.77275314491,0.844418128791,2.64564956685,1
