model,fold,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
mlp,2,0,17556,12,1.18696419697,26019.25,1.48207165641,0.456186937354,6.76101729878e-05,6.76101729878e-05,6.76101729878e-05,0.592265115374,0.592265115374,0.114333104323,1.24675011185,1
mlp,2,0.5,17556,12,1.18696419697,26019.25,1.48207165641,0.456186937354,6.76101729878e-05,-6.49340983284e-06,-6.49340983284e-06,-0.0568822701357,-0.0568822701357,-0.538999431562,0.594540269061,0.416666666667
mlp,2,1,17556,12,1.18696419697,26019.25,1.48207165641,0.456186937354,6.76101729878e-05,-8.05969926535e-05,-8.05969926535e-05,-0.706029655645,-0.706029655645,-1.19233196745,-0.0576695737281,0
mlp,3,0,17556,12,-1.22608055024,25891.25,1.47478070175,-0.473550156998,-6.98382632853e-05,-6.98382632853e-05,-6.98382632853e-05,-0.611783186379,-0.611783186379,-1.13596659121,-0.0837573162267,0
mlp,3,0.5,17556,12,-1.22608055024,25891.25,1.47478070175,-0.473550156998,-6.98382632853e-05,-0.000143577298373,-0.000143577298373,-1.25773713375,-1.25773713375,-1.79034697398,-0.727210152864,0
mlp,3,1,17556,12,-1.22608055024,25891.25,1.47478070175,-0.473550156998,-6.98382632853e-05,-0.000217316333461,-0.000217316333461,-1.90369108112,-1.90369108112,-2.44472735676,-1.3706629895,0
momentum_12,1,0,16980,12,-1.09485769237,26642.75,1.56906654888,-0.410940196629,-6.44792516121e-05,-6.44792516121e-05,-6.44792516121e-05,-0.564838244122,-0.564838244122,-0.928452873656,0.656887621284,0.0833333333333
momentum_12,1,0.5,16980,12,-1.09485769237,26642.75,1.56906654888,-0.410940196629,-6.44792516121e-05,-0.000142932579056,-0.000142932579056,-1.25208939253,-1.25208939253,-1.61663909274,-0.0232505412601,0
momentum_12,1,1,16980,12,-1.09485769237,26642.75,1.56906654888,-0.410940196629,-6.44792516121e-05,-0.0002213859065,-0.0002213859065,-1.93934054094,-1.93934054094,-2.30482531182,-0.703388703804,0
momentum_12,2,0,17556,12,-2.58466584344,27650.25,1.57497436774,-0.934771238395,-0.000147224074017,-0.000147224074017,-0.000147224074017,-1.28968288839,-1.28968288839,-1.66324421499,-0.796431960663,0
momentum_12,2,0.5,17556,12,-2.58466584344,27650.25,1.57497436774,-0.934771238395,-0.000147224074017,-0.000225972792404,-0.000225972792404,-1.97952166146,-1.97952166146,-2.35639493269,-1.48000236394,0
momentum_12,2,1,17556,12,-2.58466584344,27650.25,1.57497436774,-0.934771238395,-0.000147224074017,-0.000304721510791,-0.000304721510791,-2.66936043453,-2.66936043453,-3.0495456504,-2.16357276722,0
momentum_12,3,0,17556,12,-1.214966221,26863.25,1.5301463887,-0.45227819456,-6.92051846093e-05,-6.92051846093e-05,-6.92051846093e-05,-0.606237417178,-0.606237417178,-1.68476683023,0.0642036555634,0.0833333333333
momentum_12,3,0.5,17556,12,-1.214966221,26863.25,1.5301463887,-0.45227819456,-6.92051846093e-05,-0.000145712504044,-0.000145712504044,-1.27644153543,-1.27644153543,-2.36160107494,-0.604771737465,0
momentum_12,3,1,17556,12,-1.214966221,26863.25,1.5301463887,-0.45227819456,-6.92051846093e-05,-0.000222219823479,-0.000222219823479,-1.94664565368,-1.94664565368,-3.03843531964,-1.27374713049,0
reversal_12,1,0,16980,12,1.07951334314,26640,1.56890459364,0.405222726404,6.35755796903e-05,6.35755796903e-05,6.35755796903e-05,0.556922078087,0.556922078087,-0.637980631464,0.925897943249,0.916666666667
reversal_12,1,0.5,16980,12,1.07951334314,26640,1.56890459364,0.405222726404,6.35755796903e-05,-1.48696499917e-05,-1.48696499917e-05,-0.130258133928,-0.130258133928,-1.31780925337,0.237479568691,0.5
reversal_12,1,1,16980,12,1.07951334314,26640,1.56890459364,0.405222726404,6.35755796903e-05,-9.33148796737e-05,-9.33148796737e-05,-0.817438345942,-0.817438345942,-1.99763787528,-0.450938805867,0
reversal_12,2,0,17556,12,2.5849945556,27646.5,1.57476076555,0.935016930027,0.000147242797653,0.000147242797653,0.000147242797653,1.28984690744,1.28984690744,0.809031264484,1.67049146463,1
