model,excluded_symbol,remaining_symbol_count,full_mean_rank_ic,mean_rank_ic,median_rank_ic,rank_ic_std,rank_ic_ir,positive_timestamp_fraction,rmse,mae,n_rows,n_timestamps,rank_ic_delta,cohort_count,total_periods,pooled_break_even_cost_bps,equal_weighted_break_even_cost_bps,mean_individual_break_even_cost_bps,median_individual_break_even_cost_bps,worst_individual_break_even_cost_bps,best_individual_break_even_cost_bps,mean_turnover,focus_cost_bps,pooled_annualized_net_return_at_focus_cost,positive_cohort_fraction_at_focus_cost,full_break_even_cost_bps,break_even_delta_bps
momentum_12,BTCUSDT,19,-0.0440668064672,-0.0444534637731,-0.0491228070175,0.309575709342,-0.143594805508,0.441430545957,0.00899820605781,0.00601987014452,989748,52092,-0.000386657305939,12,52092,-0.596966918747,-0.596966918747,-0.596794009516,-0.565911035623,-0.828571199283,-0.457919751756,1.54228096445,1,-2.15756319136,0,-0.603094617706,0.0061276989588
momentum_12,DOGEUSDT,19,-0.0440668064672,-0.0440268944498,-0.0473684210526,0.317026300546,-0.138874580355,0.442908699992,0.00890711128502,0.00594380349098,989748,52092,3.99120174196e-05,12,52092,-0.616527029005,-0.616527029005,-0.616328862183,-0.596946357208,-0.819998181294,-0.427003019796,1.5434951624,1,-2.18570904467,0,-0.603094617706,-0.0134324112985
momentum_12,DOTUSDT,19,-0.0440668064672,-0.0431082410109,-0.0456140350877,0.312590228507,-0.137906553307,0.443062274438,0.00883450000772,0.00588572797631,989748,52092,0.000958565456313,12,52092,-0.592118187542,-0.592118187542,-0.591900224517,-0.553747637846,-0.83601406761,-0.412358595789,1.53951662443,1,-2.14715695798,0,-0.603094617706,0.010976430164
momentum_12,ETCUSDT,19,-0.0440668064672,-0.0436015089159,-0.0473684210526,0.316155512437,-0.137911588445,0.442793519158,0.00891734891535,0.0059506842047,989748,52092,0.000465297551292,12,52092,-0.592328284045,-0.592328284045,-0.592152912489,-0.589407026726,-0.787570471832,-0.366421731545,1.54295285265,1,-2.15223342216,0,-0.603094617706,0.010766333661
momentum_12,ETHUSDT,19,-0.0440668064672,-0.0439777145172,-0.0473684210526,0.314458779779,-0.139852080289,0.444041311526,0.00894231702074,0.00597694578926,989748,52092,8.90919499641e-05,12,52092,-0.589321066436,-0.589321066436,-0.589197287165,-0.568568363823,-0.780835530293,-0.444575783372,1.54271769178,1,-2.14784138494,0,-0.603094617706,0.0137735512697
momentum_12,FILUSDT,19,-0.0440668064672,-0.0429272800686,-0.0438596491228,0.31463187513,-0.136436526181,0.446287337787,0.00871545620104,0.00582683097715,989748,52092,0.00113952639856,12,52092,-0.638897994221,-0.638897994221,-0.638734744823,-0.628339436961,-0.81454819138,-0.510224710331,1.54104756968,1,-2.21244291936,0,-0.603094617706,-0.0358033765152
momentum_12,LINKUSDT,19,-0.0440668064672,-0.0428426644032,-0.0456140350877,0.315553429662,-0.135769921592,0.444079705137,0.00892970443125,0.00595710265821,989748,52092,0.00122414206405,12,52092,-0.578819380282,-0.578819380282,-0.578653371388,-0.581782030793,-0.806939634755,-0.37085101372,1.54400387775,1,-2.135428043,0,-0.603094617706,0.0242752374241
momentum_12,LTCUSDT,19,-0.0440668064672,-0.0445341050606,-0.0473684210526,0.316569265736,-0.140677285766,0.444367657222,0.00896260026504,0.00598660613303,989748,52092,-0.000467298593418,12,52092,-0.575754558908,-0.575754558908,-0.5755829759,-0.544042738762,-0.801655908268,-0.455652194606,1.54169066267,1,-2.12808965496,0,-0.603094617706,0.0273400587977
momentum_12,NEARUSDT,19,-0.0440668064672,-0.0430975928681,-0.0456140350877,0.316928238263,-0.135985335685,0.44534669431,0.00857778236136,0.00575573400114,989748,52092,0.000969213599079,12,52092,-0.509801978961,-0.509801978961,-0.509635062467,-0.480341781393,-0.705569987145,-0.305355407348,1.54478614759,1,-2.04311335604,0,-0.603094617706,0.0932926387448
momentum_12,SOLUSDT,19,-0.0440668064672,-0.0439188935531,-0.0473684210526,0.316944941977,-0.138569472916,0.443695769024,0.00890437283899,0.00594470933245,989748,52092,0.000147912914128,12,52092,-0.585086470367,-0.585086470367,-0.584884231984,-0.550541497935,-0.808189964152,-0.441236183669,1.54283767181,1,-2.14228526073,0,-0.603094617706,0.0180081473393
momentum_12,TRXUSDT,19,-0.0440668064672,-0.0460148688191,-0.0491228070175,0.304757031392,-0.150988702735,0.437245642325,0.00897982779516,0.00599182057076,989748,52092,-0.00194806235195,12,52092,-0.625941882303,-0.625941882303,-0.625801826703,-0.594088938253,-0.831784748757,-0.485812302248,1.54974372264,1,-2.20733886552,0,-0.603094617706,-0.0228472645967
momentum_12,XLMUSDT,19,-0.0440668064672,-0.0453187994911,-0.0508771929825,0.319192397162,-0.14197957061,0.440893035399,0.00874865450262,0.00586381742578,989748,52092,-0.0012519930239,12,52092,-0.633460009919,-0.633460009919,-0.63330437374,-0.603102004266,-0.88292950762,-0.477471315632,1.54398468095,1,-2.20930461546,0,-0.603094617706,-0.0303653922133
momentum_12,XRPUSDT,19,-0.0440668064672,-0.0434549469735,-0.0473684210526,0.315595956508,-0.137691710167,0.44313906166,0.00893312416727,0.00596784254123,989748,52092,0.000611859493651,12,52092,-0.627326679589,-0.627326679589,-0.627192221937,-0.598473532012,-0.833026416384,-0.460404558904,1.54370632727,1,-2.20061229483,0,-0.603094617706,-0.0242320618831
reversal_12,ADAUSDT,19,0.0440668064672,0.0429952343638,0.0456140350877,0.316379456163,0.135897680858,0.553655071796,0.00880786942576,0.00583016448719,989748,52092,-0.00107157210341,12,52092,0.592743735641,0.592743735641,0.592545429972,0.567456598598,0.426669201404,0.827920531996,1.54137871458,1,-0.549896856243,0,0.602193757685,-0.00945002204446
reversal_12,APTUSDT,19,0.0440668064672,0.0439655251941,0.0473684210526,0.31224795433,0.140803244935,0.556381018199,0.0086801880911,0.00573723356472,989748,52092,-0.00010128127312,12,52092,0.556755306107,0.556755306107,0.556515174976,0.522673103628,0.428705077246,0.766784180219,1.54155628503,1,-0.598559099862,0,0.602193757685,-0.0454384515778
reversal_12,ARBUSDT,19,0.0440668064672,0.0448488688234,0.0473684210526,0.312469541512,0.143530369733,0.558319895569,0.00869850460921,0.0057482551283,989748,52092,0.000782062356225,12,52092,0.642126616702,0.642126616702,0.641866987535,0.618377219153,0.468461903105,0.896689036929,1.54307283268,1,-0.483748833089,0,0.602193757685,0.0399328590166
reversal_12,ATOMUSDT,19,0.0440668064672,0.0441606078239,0.0482667883236,0.320548988047,0.137765550573,0.555574752361,0.00878967502643,0.00579767626138,989748,52092,9.38013567456e-05,12,52092,0.538078842466,0.538078842466,0.537915908184,0.528964292728,0.368475843319,0.743487951453,1.54251612532,1,-0.62416825069,0,0.602193757685,-0.0641149152192
reversal_12,AVAXUSDT,19,0.0440668064672,0.0441362873765,0.0473684210526,0.316067149018,0.139642121979,0.554039007909,0.00881072669852,0.0058350829984,989748,52092,6.9480909325e-05,12,52092,0.611569346054,0.611569346054,0.611391745067,0.58203469579,0.501203033745,0.81097622853,1.54341357598,1,-0.525170010694,0,0.602193757685,0.00937558836874
reversal_12,BCHUSDT,19,0.0440668064672,0.0432005791619,0.0465116323846,0.315850017763,0.136775610994,0.554134991937,0.00877035174792,0.00581855313934,989748,52092,-0.000866227305254,12,52092,0.540044516235,0.540044516235,0.539893183361,0.557144603474,0.385038995176,0.764394973588,1.54374472088,1,-0.622007172514,0,0.602193757685,-0.0621492414503
reversal_12,BNBUSDT,19,0.0440668064672,0.0448409807812,0.0482667883236,0.310960844711,0.144201373079,0.557148890425,0.00890623709295,0.00590850740914,989748,52092,0.000774174314049,12,52092,0.624531588092,0.624531588092,0.624377768064,0.585320636517,0.460410368035,0.834920792354,1.54256411733,1,-0.507365271075,0,0.602193757685,0.0223378304068
reversal_12,BTCUSDT,19,0.0440668064672,0.0444534637731,0.0491228070175,0.309575709342,0.143594805508,0.556764954312,0.00891328529906,0.00591738783478,989748,52092,0.000386657305939,12,52092,0.595812016716,0.595812016716,0.5956323825,0.563727559077,0.447576163315,0.821551694165,1.54217058282,1,-0.546034292348,0,0.602193757685,-0.00638174096933
reversal_12,DOGEUSDT,19,0.0440668064672,0.0440268944498,0.0473684210526,0.317026300546,0.138874580355,0.555171619443,0.00882431029985,0.0058423908712,989748,52092,-3.99120174196e-05,12,52092,0.615403039321,0.615403039321,0.615197052358,0.593798805427,0.422724084983,0.813692563677,1.54341357598,1,-0.519986741264,0,0.602193757685,0.013209281636
reversal_12,DOTUSDT,19,0.0440668064672,0.0431082410109,0.0456140350877,0.312590228507,0.137906553307,0.554979651386,0.00876737889722,0.00579716286399,989748,52092,-0.000958565456313,12,52092,0.592075932044,0.592075932044,0.591850519338,0.554449088977,0.413657660876,0.833205455168,1.53943983721,1,-0.550105715233,0,0.602193757685,-0.010117825641
reversal_12,ETCUSDT,19,0.0440668064672,0.0436015089159,0.0473684210526,0.316155512437,0.137911588445,0.55496045458,0.00884558224895,0.0058522206325,989748,52092,-0.000465297551292,12,52092,0.591747347612,0.591747347612,0.591564444779,0.592382985774,0.36234331675,0.787022151959,1.54283287261,1,-0.551762276493,0,0.602193757685,-0.0104464100734
reversal_12,ETHUSDT,19,0.0440668064672,0.0439777145172,0.0473684210526,0.314458779779,0.139852080289,0.554115795132,0.00885034548802,0.00586996165642,989748,52092,-8.90919499641e-05,12,52092,0.58843489942,0.58843489942,0.588301561758,0.567067200337,0.432854171243,0.77095800568,1.54253532212,1,-0.556131845578,0,0.602193757685,-0.0137588582652
reversal_12,FILUSDT,19,0.0440668064672,0.0429272800686,0.0438596491228,0.31463187513,0.136436526181,0.551831375259,0.00862746076239,0.00573550952468,989748,52092,-0.00113952639856,12,52092,0.63958347705,0.63958347705,0.639412189387,0.631791439694,0.50703581036,0.817564656844,1.54090359364,1,-0.486501593109,0,0.602193757685,0.0373897193654
reversal_12,LINKUSDT,19,0.0440668064672,0.0428426644032,0.0456140350877,0.315553429662,0.135769921592,0.55407740152,0.00884861691102,0.0058608425423,989748,52092,-0.00122414206405,12,52092,0.579007344859,0.579007344859,0.578824627481,0.577065673967,0.366123377728,0.798645350916,1.54391749213,1,-0.569380661713,0,0.602193757685,-0.0231864128258
reversal_12,LTCUSDT,19,0.0440668064672,0.0445341050606,0.0473684210526,0.316569265736,0.140677285766,0.553866236658,0.00888414800307,0.0058918292526,989748,52092,0.000467298593418,12,52092,0.572472741414,0.572472741414,0.572287488816,0.546793303055,0.44952539296,0.795257281937,1.54163307226,1,-0.577362981148,0,0.602193757685,-0.0297210162713
reversal_12,NEARUSDT,19,0.0440668064672,0.0430975928681,0.0456140350877,0.316928238263,0.135985335685,0.55288719957,0.00853293299977,0.00567599711209,989748,52092,-0.000969213599079,12,52092,0.511025528478,0.511025528478,0.510848794512,0.481727887527,0.304461811144,0.709677416606,1.54470456116,1,-0.661661280491,0,0.602193757685,-0.0911682292067
reversal_12,SOLUSDT,19,0.0440668064672,0.0439188935531,0.0473684210526,0.316944941977,0.138569472916,0.554595715273,0.00882615586617,0.00584589969664,989748,52092,-0.000147912914128,12,52092,0.584626659383,0.584626659383,0.584414037167,0.552275692252,0.434562355436,0.799901573721,1.54273688858,1,-0.56135111499,0,0.602193757685,-0.0175670983018
reversal_12,TRXUSDT,19,0.0440668064672,0.0460148688191,0.0491228070175,0.304757031392,0.150988702735,0.560911464332,0.00889134863542,0.00588182611705,989748,52092,0.00194806235195,12,52092,0.624382099396,0.624382099396,0.624236481482,0.59264353989,0.486124010501,0.819554074272,1.54965253782,1,-0.509899656039,0,0.602193757685,0.0221883417108
reversal_12,XLMUSDT,19,0.0440668064672,0.0453187994911,0.0508771929825,0.319192397162,0.14197957061,0.557340858481,0.00863836838424,0.00575803683675,989748,52092,0.0012519930239,12,52092,0.633184989174,0.633184989174,0.633016612662,0.598277937762,0.467133039327,0.882499932195,1.54397988175,1,-0.496126977405,0,0.602193757685,0.0309912314891
