model,block_length_periods,block_hours,resamples,confidence_level,focus_cost_bps,observed_gross_annualized_return,gross_bootstrap_mean,gross_bootstrap_std,gross_confidence_lower,gross_confidence_upper,gross_probability_positive,observed_net_annualized_return,net_bootstrap_mean,net_bootstrap_std,net_confidence_lower,net_confidence_upper,net_probability_positive,observed_break_even_cost_bps,break_even_bootstrap_mean,break_even_bootstrap_std,break_even_confidence_lower,break_even_confidence_upper,break_even_probability_positive,probability_break_even_above_focus_cost,observed_mean_turnover,turnover_bootstrap_mean,turnover_confidence_lower,turnover_confidence_upper
reversal_12,72,72,1000,0.95,1,0.821781783184,0.8213812667,0.0945322372668,0.639428122278,1.00262945896,1,-0.542865014789,-0.543259014917,0.0935175795884,-0.723670659645,-0.363237442156,0,0.602193757685,0.601852095642,0.0688215578048,0.468988822045,0.734127292102,1,0,1.55781597942,1.55780854066,1.55431688167,1.56153068129
ridge,72,72,1000,0.95,1,0.382950661798,0.387053779469,0.08066942289,0.234490306814,0.548891506573,1,-0.837470266559,-0.833372134952,0.0808476882645,-0.984181300706,-0.670247860195,0,0.313785721713,0.317155523222,0.0661354419355,0.192418692258,0.450225629872,1,0,1.39317457575,1.3931802676,1.38826451279,1.39812363223
tcn,72,72,1000,0.95,1,-0.0536842065291,-0.0517382558035,0.0732598376918,-0.20042641995,0.0795538569003,0.242,-1.28850417889,-1.28643096584,0.0729797151539,-1.43485594485,-1.15466390719,0,-0.0434753305996,-0.0419220065871,0.0593369249415,-0.162185054356,0.0644921464429,0.242,0,1.40961184059,1.40946656396,1.40107190164,1.41739758504
transformer,72,72,1000,0.95,1,0.238611104701,0.244062063321,0.0695761805351,0.103400551218,0.392139836975,1,-0.645212726213,-0.639408766096,0.0710680305125,-0.782327727994,-0.491076626493,0,0.269975866632,0.276373199262,0.0791913218661,0.11631004605,0.445118743001,1,0,1.00893131383,1.00852834408,0.991764810336,1.02387446729
lightgbm,168,168,1000,0.95,1,0.122022473595,0.120823422927,0.0873710101314,-0.0516721970339,0.293486680439,0.917,-0.171495206663,-0.172421402804,0.088380932158,-0.3514550167,0.00318133941665,0.028,0.415724441158,0.412979869712,0.29914396071,-0.184396196323,1.01094022553,0.917,0.028,0.335065845043,0.334754367273,0.313773348115,0.356403334485
mlp,168,168,1000,0.95,1,0.0686198616738,0.0660499111367,0.0773756986235,-0.0798605381517,0.215022922801,0.799,-1.23328914547,-1.23584321712,0.0771772643872,-1.38193649695,-1.08741372932,0,0.052707110326,0.0507241344873,0.0594329246576,-0.061304789209,0.165098738802,0.799,0,1.48619749674,1.48617937015,1.48270295823,1.48941812082
momentum_12,168,168,1000,0.95,1,-0.823077061156,-0.822294491932,0.096594366236,-1.00824104313,-0.629903704697,0,-2.18783316574,-2.18704778818,0.0977589758835,-2.37599606779,-1.99304423945,0,-0.603094617706,-0.602463622989,0.0702681248759,-0.73667202027,-0.46171611651,0,0,1.55794075866,1.55793755279,1.55415370882,1.56200592221
reversal_12,168,168,1000,0.95,1,0.821781783184,0.8259271218,0.0971838217663,0.636697638477,1.00623075589,1,-0.542865014789,-0.538852567788,0.0960548648017,-0.723951480389,-0.361492602779,0,0.602193757685,0.605114153047,0.0707073983683,0.467936767583,0.735697567165,1,0,1.55781597942,1.55796768218,1.55404368713,1.56179031809
ridge,168,168,1000,0.95,1,0.382950661798,0.38079520522,0.0782602039219,0.226933977628,0.534579853288,1,-0.837470266559,-0.839532459374,0.0785010259988,-0.994221196871,-0.685676721455,0,0.313785721713,0.312055111586,0.064186158854,0.185835506309,0.437315542692,1,0,1.39317457575,1.39306811027,1.38689854008,1.39944281272
tcn,168,168,1000,0.95,1,-0.0536842065291,-0.0537645803463,0.0693893515206,-0.18190497859,0.0835989796764,0.204,-1.28850417889,-1.28867809814,0.0688339705475,-1.41695290545,-1.14987663227,0,-0.0434753305996,-0.043572600906,0.0562215502099,-0.147255741519,0.067851160019,0.204,0,1.40961184059,1.40971862762,1.39799753321,1.4210588958
