model,top_count,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return,selected_symbol_count
lightgbm,6,1,12,52092,-0.239947706308,-0.282449398334,-1.61334434822,0.896076816795,-0.0390009749348,-0.0462637495832,-0.265433367858,0.148769330562,0.164715011319,0.509694386854,0.269321584888,-0.0193268529899,12
mlp,6,1,12,52092,-7.45599365284,-7.4253610281,-8.88533624795,-6.00151367726,-1.04243739059,-1.04218534063,-1.26262222987,-0.833385129993,0.139915745635,0.462355064117,1.28461823952,-0.516577706911,12
momentum_12,6,1,12,52092,-11.0753497787,-10.9988023559,-12.4291886172,-9.8215569318,-1.91428561353,-1.90529337872,-2.13388892178,-1.67707538132,0.172903737647,0.42031405974,1.40518057795,-0.94862030232,12
reversal_12,6,1,12,52092,-3.17791918124,-3.20439693441,-4.56799059649,-2.04398477718,-0.549080182798,-0.552248611578,-0.779557726631,-0.350546363918,0.172732714786,0.493972203025,1.40512938647,-0.272095556339,12
ridge,6,1,12,52092,-4.96426604068,-4.84053278624,-7.15197989844,-2.86706447291,-0.820130888004,-0.817146263786,-1.16402459754,-0.479312437775,0.165505374274,0.463103739538,1.21847564565,-0.40641417635,12
tcn,6,1,12,52092,-7.55875054849,-7.69273903171,-9.08784539916,-5.39310629504,-1.10782912664,-1.12091113475,-1.33279412449,-0.76467311532,0.146634982729,0.457363894648,1.23021449231,-0.548982447347,12
transformer,6,1,12,52092,-3.02476464716,-3.06008760095,-4.0138667154,-2.06563322685,-0.515973567456,-0.520402079983,-0.680375814328,-0.3577381321,0.170576864887,0.487810028411,0.820141928383,-0.255689641133,12
lightgbm,8,1,12,52092,-0.15014318291,-0.497447339694,-1.20250859042,1.16264860544,-0.018323567449,-0.0626546897295,-0.149868635103,0.145827804799,0.125117525039,0.505778238501,0.240790332489,-0.00908020619818,16
mlp,8,1,12,52092,-7.6727131592,-7.56607243774,-9.08810298483,-6.41412084893,-0.91029022471,-0.888258709651,-1.07386394049,-0.778680982244,0.11869770376,0.461740766336,1.09353883514,-0.451092450395,16
momentum_12,8,1,12,52092,-11.5208470484,-11.6784935235,-13.2207815059,-10.4316400667,-1.64067173833,-1.66966700214,-1.871858911,-1.47266561692,0.14246687482,0.42075558627,1.23136470091,-0.813031508687,16
