model,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
momentum_12,1,9,4341,-0.000247878000842,-2.17141128738,0.220173461586,-9.8622752794,0.419949320433,1.56225524073,-1.07603840166
momentum_12,1,10,4341,-0.000260438151966,-2.28143821122,0.216043606958,-10.5600820285,0.424326192122,1.56357982032,-1.13056201768
momentum_12,1,11,4341,-0.000223427177372,-1.95722207378,0.219036419938,-8.93560109472,0.424556553789,1.55954849113,-0.969897376974
momentum_12,2,0,4341,-0.000411313824425,-3.60310910196,0.21788226224,-16.5369547063,0.387237963603,1.56139138447,-1.78551331183
momentum_12,2,1,4341,-0.000441307592728,-3.8658545123,0.217107479704,-17.8061783849,0.3800967519,1.56444367657,-1.91571626003
momentum_12,2,2,4341,-0.000399648112899,-3.50091746899,0.216092712427,-16.2009973852,0.388159410274,1.55712969362,-1.73487245809
momentum_12,2,3,4341,-0.000392372495817,-3.43718306335,0.22408571179,-15.3386980183,0.396913153651,1.55684174153,-1.70328900434
momentum_12,2,4,4341,-0.000401834550068,-3.5200706586,0.214984927951,-16.3735694969,0.392997005298,1.55632342778,-1.74436378185
momentum_12,2,5,4341,-0.000389593356593,-3.41283780376,0.221297434913,-15.4219492201,0.389771941949,1.55021884358,-1.69122476097
momentum_12,2,6,4341,-0.00039719816992,-3.4794559685,0.221866950903,-15.6826239976,0.383091453582,1.55327113568,-1.72423725562
momentum_12,2,7,4341,-0.000436768512052,-3.82609216558,0.221539449918,-17.270477863,0.389541580281,1.55810873071,-1.89601211082
momentum_12,2,8,4341,-0.000396242344379,-3.47108293676,0.221679491234,-15.6581148641,0.396913153651,1.55217691776,-1.72008801695
momentum_12,2,9,4341,-0.000404103524915,-3.53994687826,0.220335799915,-16.0661448554,0.386777240267,1.56225524073,-1.75421340166
momentum_12,2,10,4341,-0.000416796133998,-3.65113413382,0.216129084824,-16.8933030776,0.384703985257,1.56357982032,-1.80931201768
momentum_12,2,11,4341,-0.000379382026486,-3.32338655201,0.219169144964,-15.1635694548,0.389311218613,1.55954849113,-1.64689737697
momentum_12,5,0,4341,-0.000879731239767,-7.70644566036,0.218478438797,-35.2732548932,0.290255701451,1.56139138447,-3.81891331183
momentum_12,5,1,4341,-0.0009106406957,-7.97721249433,0.217680162849,-36.6464834918,0.292098594794,1.56444367657,-3.95309126003
momentum_12,5,2,4341,-0.000866787020985,-7.59305430383,0.216518841662,-35.0687923763,0.289564616448,1.55712969362,-3.76272245809
momentum_12,5,3,4341,-0.000859425018277,-7.52856316011,0.224630298667,-33.5153503547,0.297396913154,1.55684174153,-3.73076400434
momentum_12,5,4,4341,-0.000868731578403,-7.61008862681,0.215541119595,-35.3068994033,0.295093296475,1.55632342778,-3.77116378185
momentum_12,5,5,4341,-0.000854659009669,-7.4868129247,0.221997186247,-33.724809991,0.296245104815,1.55021884358,-3.71007476097
momentum_12,5,6,4341,-0.000863179510625,-7.56145251307,0.222379460739,-34.0024770631,0.292098594794,1.55327113568,-3.74706225562
momentum_12,5,7,4341,-0.000904201131264,-7.92080190987,0.222028573599,-35.6746961955,0.290255701451,1.55810873071,-3.92513711082
momentum_12,5,8,4341,-0.000861895419707,-7.55020387664,0.222206961884,-33.9782507831,0.295554019811,1.55217691776,-3.74148801695
momentum_12,5,9,4341,-0.000872780097133,-7.64555365089,0.221055258604,-34.5866173878,0.293711126469,1.56225524073,-3.78873840166
momentum_12,5,10,4341,-0.000885870080093,-7.76022190162,0.21662448885,-35.8233824016,0.289794978116,1.56357982032,-3.84556201768
momentum_12,5,11,4341,-0.000847246573825,-7.42187998671,0.219806009775,-33.7655917338,0.296014743147,1.55954849113,-3.67789737697
momentum_12,10,0,4341,-0.001660426932,-14.5453399244,0.220244720175,-66.041719015,0.180142824234,1.56139138447,-7.20791331183
momentum_12,10,1,4341,-0.00169286253399,-14.8294757977,0.219391693374,-67.5936065292,0.173923059203,1.56444367657,-7.34871626003
momentum_12,10,2,4341,-0.00164535186779,-14.4132823619,0.218004150899,-66.1147152585,0.184058972587,1.55712969362,-7.14247245809
momentum_12,10,3,4341,-0.00163784588904,-14.347529988,0.226261068091,-63.4113951157,0.180833909238,1.55684174153,-7.10988900434
momentum_12,10,4,4341,-0.00164689329229,-14.4267852405,0.217254636265,-66.4049591231,0.180833909238,1.55632342778,-7.14916378185
momentum_12,10,5,4341,-0.00162976843146,-14.2767714596,0.223945752545,-63.7510258504,0.187744759272,1.55021884358,-7.07482476097
momentum_12,10,6,4341,-0.00163981507847,-14.3647800874,0.223996458403,-64.1294964653,0.184058972587,1.55327113568,-7.11843725562
momentum_12,10,7,4341,-0.00168325549662,-14.7453181504,0.223610478799,-65.9419819212,0.176917760885,1.55810873071,-7.30701211082
momentum_12,10,8,4341,-0.00163798387859,-14.3487387764,0.223867840869,-64.0946851533,0.187744759272,1.55217691776,-7.11048801695
momentum_12,10,9,4341,-0.0016539077175,-14.4882316053,0.223020459026,-64.9636883923,0.179221377563,1.56225524073,-7.17961340166
momentum_12,10,10,4341,-0.00166765999025,-14.6087015146,0.218239997459,-66.9386990685,0.178069569224,1.56357982032,-7.23931201768
momentum_12,10,11,4341,-0.00162702081939,-14.2527023779,0.22165494046,-64.3013070146,0.184519695923,1.55954849113,-7.06289737697
reversal_12,0,0,4341,0.00010069024326,0.882046530958,0.217608086518,4.053372028,0.536051601014,1.56121861322,0.437096345992
reversal_12,0,1,4341,0.000127242392218,1.11464335583,0.216766623555,5.14213552596,0.548951854411,1.56455885741,0.552359224617
reversal_12,0,2,4341,8.84250275843e-05,0.774603241638,0.216074484642,3.5848899185,0.539507026031,1.55712969362,0.383853044743
reversal_12,0,3,4341,8.03829801251e-05,0.704154905896,0.223998038053,3.14357622065,0.529371112647,1.55649619903,0.348942516723
reversal_12,0,4,4341,8.93772857889e-05,0.782945023511,0.214730156302,3.64618103481,0.534899792674,1.55574752361,0.38798679761
reversal_12,0,5,4341,7.71212947834e-05,0.675582542303,0.221081786358,3.055803707,0.536973047685,1.54987330108,0.334783540655
reversal_12,0,6,4341,8.60640657198e-05,0.753921215706,0.221682547617,3.4009046892,0.541580281041,1.55315595485,0.37360410929
reversal_12,0,7,4341,0.000124502867611,1.09064512028,0.221457000043,4.9248618019,0.540428472702,1.55805114029,0.540466948301
reversal_12,0,8,4341,8.71179929957e-05,0.763153618642,0.221524916979,3.44500126239,0.533517622668,1.55229209859,0.378179207594
reversal_12,0,9,4341,9.34276001568e-05,0.818425777373,0.220022869696,3.71973049212,0.548260769408,1.56202487906,0.405569212281
reversal_12,0,10,4341,0.000104788397553,0.917946362562,0.215960553821,4.25052791504,0.536742686017,1.56357982032,0.454886433776
reversal_12,0,11,4341,6.65883223191e-05,0.583313703515,0.218997615605,2.66356189269,0.536512324349,1.55966367196,0.289059907187
reversal_12,1,0,4341,-5.54316180623e-05,-0.485580974225,0.217562949212,-2.23191024016,0.500806265837,1.56121861322,-0.240628654008
reversal_12,1,1,4341,-2.92134935229e-05,-0.255910203261,0.216727236062,-1.18079392286,0.507717115872,1.56455885741,-0.126815775383
reversal_12,1,2,4341,-6.72879417776e-05,-0.589442369972,0.216094867576,-2.72770184958,0.505183137526,1.55712969362,-0.292096955257
reversal_12,1,3,4341,-7.52666397781e-05,-0.659335764456,0.223961635594,-2.94396744652,0.491591799125,1.55649619903,-0.326732483277
reversal_12,1,4,4341,-6.61974665723e-05,-0.579889807173,0.214699329864,-2.7009390646,0.495507947478,1.55574752361,-0.28736320239
reversal_12,1,5,4341,-7.78660353249e-05,-0.682106469446,0.2210015728,-3.08643264753,0.496659755817,1.54987330108,-0.338016459345
reversal_12,1,6,4341,-6.92515297651e-05,-0.606643400742,0.22166618265,-2.73674312198,0.500806265837,1.55315595485,-0.30062089071
reversal_12,1,7,4341,-3.13022464177e-05,-0.274207678619,0.221450255804,-1.23823599852,0.498272287491,1.55805114029,-0.135883051699
reversal_12,1,8,4341,-6.81112168638e-05,-0.596654259727,0.221505431168,-2.69363264178,0.495968670813,1.55229209859,-0.295670792406
reversal_12,1,9,4341,-6.27748877492e-05,-0.549908016683,0.219935555709,-2.50031430757,0.508408200875,1.56202487906,-0.272505787719
reversal_12,1,10,4341,-5.15695844791e-05,-0.451749560037,0.215956684125,-2.09185264104,0.496429394149,1.56357982032,-0.223863566224
reversal_12,1,11,4341,-8.93780448774e-05,-0.782951673126,0.218946161943,-3.57600090441,0.501497350841,1.55966367196,-0.387990092813
