model,variant,removed_family,feature_count,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,full,,16,1,1,4341,-8.43796030262e-06,-0.0739165322509,0.217662586933,-0.339592271196,0.507717115872,0.336155263764,-0.0366291856737
lightgbm,full,,16,1,2,4341,-1.6691529873e-05,-0.146217801687,0.213915150917,-0.68353176977,0.511402902557,0.334427551255,-0.0724579311786
lightgbm,full,,16,1,3,4341,6.30806252761e-06,0.0552586277419,0.214857861913,0.257186901377,0.508408200875,0.331778392076,0.0273832994324
lightgbm,full,,16,1,4,4341,-2.37042944973e-05,-0.207649619797,0.210528685781,-0.986324590526,0.501266989173,0.331605620825,-0.102900342413
lightgbm,full,,16,1,5,4341,-2.33286681648e-05,-0.204359133124,0.215154263689,-0.949826090449,0.505643860862,0.328783690394,-0.101269748503
lightgbm,full,,16,1,6,4341,-4.53848275417e-05,-0.397571089266,0.215003855918,-1.84913469374,0.510481455886,0.343757198802,-0.197015536359
lightgbm,full,,16,1,7,4341,-3.78437232068e-05,-0.331511015292,0.211463339604,-1.56769970583,0.507717115872,0.340820087537,-0.164279602441
lightgbm,full,,16,1,8,4341,-3.3368444046e-05,-0.292307569843,0.211298258108,-1.38338845033,0.506795669201,0.335176226676,-0.144852415604
lightgbm,full,,16,1,9,4341,-3.39187202328e-05,-0.29712798924,0.21311008634,-1.39424648707,0.506334945865,0.333851647086,-0.147241164531
lightgbm,full,,16,1,10,4341,-3.92145236774e-05,-0.343519227414,0.214098823552,-1.60448909394,0.505413499194,0.33529140751,-0.170230247284
lightgbm,full,,16,1,11,4341,7.85190020517e-06,0.0687826457973,0.216943379817,0.317053444338,0.515088689242,0.334312370422,0.0340850987906
lightgbm,full,,16,2,0,4341,-2.06752802416e-05,-0.181115454917,0.216269705461,-0.837451803665,0.501727712509,0.334830684174,-0.089751391529
lightgbm,full,,16,2,1,4341,-4.2053486679e-05,-0.368388543308,0.217743858769,-1.69184355137,0.501727712509,0.336155263764,-0.182554185674
lightgbm,full,,16,2,2,4341,-5.01342849985e-05,-0.439176336587,0.21403676745,-2.05187333849,0.503570605851,0.334427551255,-0.217632931179
lightgbm,full,,16,2,3,4341,-2.68697766799e-05,-0.235379243716,0.214820853568,-1.09570016042,0.50057590417,0.331778392076,-0.116641700568
lightgbm,full,,16,2,4,4341,-5.68648565798e-05,-0.498136143639,0.210673909829,-2.36448900599,0.493434692467,0.331605620825,-0.246850342413
lightgbm,full,,16,2,5,4341,-5.62070372042e-05,-0.492373645909,0.215360544604,-2.28627600666,0.497581202488,0.328783690394,-0.243994748503
lightgbm,full,,16,2,6,4341,-7.9760547422e-05,-0.698702395416,0.215156799496,-3.2474102471,0.500115180834,0.343757198802,-0.346240536359
lightgbm,full,,16,2,7,4341,-7.19257319606e-05,-0.630069411974,0.211531889139,-2.97860249127,0.499654457498,0.340820087537,-0.312229602441
lightgbm,full,,16,2,8,4341,-6.68860667136e-05,-0.585921944411,0.211380966329,-2.77187655345,0.500345542502,0.335176226676,-0.290352415604
lightgbm,full,,16,2,9,4341,-6.73038849414e-05,-0.589582032087,0.213222923504,-2.76509684043,0.499654457498,0.333851647086,-0.292166164531
lightgbm,full,,16,2,10,4341,-7.27436644284e-05,-0.637234500393,0.214213971019,-2.97475695615,0.498272287491,0.33529140751,-0.315780247284
lightgbm,full,,16,2,11,4341,-2.5579336837e-05,-0.224074990692,0.217060286989,-1.03231684524,0.510942179221,0.334312370422,-0.111039901209
lightgbm,full,,16,5,0,4341,-0.000121124485494,-1.06105049293,0.216794457562,-4.89426946084,0.483759502419,0.334830684174,-0.525801391529
lightgbm,full,,16,5,1,4341,-0.000142900065808,-1.25180457648,0.218396990662,-5.73178491465,0.47938263073,0.336155263764,-0.620329185674
lightgbm,full,,16,5,2,4341,-0.000150462550375,-1.31805194129,0.214815369803,-6.13574318493,0.485602395761,0.334427551255,-0.653157931179
lightgbm,full,,16,5,3,4341,-0.000126403294303,-1.10729285809,0.215118105472,-5.14737174568,0.478691545727,0.331778392076,-0.548716700568
lightgbm,full,,16,5,4,4341,-0.000156346542827,-1.36959571517,0.211510470114,-6.47530930469,0.47408431237,0.331605620825,-0.678700342413
lightgbm,full,,16,5,5,4341,-0.000154842144322,-1.35641718426,0.216371652624,-6.26892279008,0.473623589035,0.328783690394,-0.672169748503
lightgbm,full,,16,5,6,4341,-0.000182887707063,-1.60209631387,0.216045336931,-7.41555608941,0.475466482377,0.343757198802,-0.793915536359
lightgbm,full,,16,5,7,4341,-0.000174171758222,-1.52574460202,0.21217322477,-7.19103272185,0.476387929049,0.340820087537,-0.756079602441
lightgbm,full,,16,5,8,4341,-0.000167438934716,-1.46676506811,0.212041845592,-6.91733777368,0.475696844045,0.335176226676,-0.726852415604
lightgbm,full,,16,5,9,4341,-0.000167459379067,-1.46694416063,0.213970245608,-6.85583248485,0.481686247408,0.333851647086,-0.726941164531
lightgbm,full,,16,5,10,4341,-0.000173331086681,-1.51838031933,0.2149674412,-7.06330368383,0.478921907395,0.33529140751,-0.752430247284
lightgbm,full,,16,5,11,4341,-0.000125873047963,-1.10264790016,0.217809253663,-5.0624474471,0.48790601244,0.334312370422,-0.546414901209
lightgbm,full,,16,10,0,4341,-0.000288539827581,-2.52760888961,0.219037247403,-11.5396304491,0.451739230592,0.334830684174,-1.25255139153
lightgbm,full,,16,10,1,4341,-0.00031097769769,-2.72416463177,0.22083403318,-12.3358007484,0.446901635568,0.336155263764,-1.34995418567
lightgbm,full,,16,10,2,4341,-0.000317676326003,-2.78284461579,0.217473467882,-12.7962488614,0.456116102281,0.334427551255,-1.37903293118
lightgbm,full,,16,10,3,4341,-0.00029229249034,-2.56048221538,0.216965013666,-11.8013599157,0.445749827229,0.331778392076,-1.26884170057
lightgbm,full,,16,10,4,4341,-0.00032214935324,-2.82202833438,0.214221625734,-13.1734054614,0.439990785533,0.331605620825,-1.39845034241
lightgbm,full,,16,10,5,4341,-0.000319233989519,-2.79648974819,0.219342794761,-12.7494032856,0.442524763879,0.328783690394,-1.3857947485
lightgbm,full,,16,10,6,4341,-0.000354766306464,-3.10775284462,0.218936933187,-14.1947400074,0.443906933886,0.343757198802,-1.54004053636
lightgbm,full,,16,10,7,4341,-0.000344581801991,-3.01853658544,0.214676971231,-14.0608308759,0.438147892191,0.340820087537,-1.49582960244
lightgbm,full,,16,10,8,4341,-0.000335027048054,-2.93483694096,0.214502472244,-13.6820658067,0.441603317208,0.335176226676,-1.4543524156
lightgbm,full,,16,10,9,4341,-0.00033438520261,-2.92921437487,0.216560519068,-13.5260775485,0.447823082239,0.333851647086,-1.45156616453
lightgbm,full,,16,10,10,4341,-0.000340976790436,-2.98695668422,0.217565361269,-13.7290084543,0.448283805575,0.33529140751,-1.48018024728
lightgbm,full,,16,10,11,4341,-0.000293029233174,-2.56693608261,0.220367882273,-11.6484129,0.454733932274,0.334312370422,-1.27203990121
lightgbm,without_activity_flow,activity_flow,12,0,0,4341,5.2655886108e-06,0.0461265562306,0.227436085753,0.202811071417,0.513015434232,0.457210320203,0.0228579201595
lightgbm,without_activity_flow,activity_flow,12,0,1,4341,2.3027672061e-05,0.201722407254,0.226042554222,0.892408988868,0.519465560931,0.453870076019,0.0999631244167
lightgbm,without_activity_flow,activity_flow,12,0,2,4341,4.50223425846e-05,0.394395721041,0.225316285913,1.75040929439,0.524994240958,0.454849113108,0.19544198916
lightgbm,without_activity_flow,activity_flow,12,0,3,4341,2.18181877981e-05,0.191127325111,0.227958698469,0.83842962078,0.512324349228,0.45536742686,0.0947127532314
lightgbm,without_activity_flow,activity_flow,12,0,4,4341,4.00978297093e-05,0.351256988253,0.223617147886,1.57079629883,0.507717115872,0.454964293941,0.174064678768
lightgbm,without_activity_flow,activity_flow,12,0,5,4341,2.42022434119e-05,0.212011652288,0.22437429387,0.944901702559,0.51209398756,0.453812485602,0.105061938651
lightgbm,without_activity_flow,activity_flow,12,0,6,4341,1.75470025093e-05,0.153711741981,0.228665286701,0.672212840868,0.513706519235,0.464409122322,0.0761715378929
lightgbm,without_activity_flow,activity_flow,12,0,7,4341,1.6631757562e-05,0.145694196243,0.225623953014,0.645739046307,0.515549412578,0.458650080627,0.0721984595766
lightgbm,without_activity_flow,activity_flow,12,0,8,4341,3.17384012504e-05,0.278028394953,0.224945391813,1.23598173189,0.514858327574,0.458131766874,0.137776399828
lightgbm,without_activity_flow,activity_flow,12,0,9,4341,-1.79318961328e-06,-0.0157083410123,0.224055755075,-0.0701090717668,0.508408200875,0.457843814789,-0.00778423611126
lightgbm,without_activity_flow,activity_flow,12,0,10,4341,8.87008062474e-07,0.00777019062727,0.225715273169,0.0344247445828,0.509329647547,0.453121400599,0.0038505019992
lightgbm,without_activity_flow,activity_flow,12,0,11,4341,1.60124177101e-06,0.014026877914,0.225889162003,0.0620962855839,0.5132457959,0.453697304768,0.00695099052795
lightgbm,without_activity_flow,activity_flow,12,1,0,4341,-4.04554434095e-05,-0.354389684267,0.227502560188,-1.55773932379,0.502879520848,0.457210320203,-0.175617079841
lightgbm,without_activity_flow,activity_flow,12,1,1,4341,-2.2359335541e-05,-0.195867779339,0.226053761807,-0.866465471635,0.51209398756,0.453870076019,-0.0970618755833
lightgbm,without_activity_flow,activity_flow,12,1,2,4341,-4.62568726184e-07,-0.00405210204137,0.225284644556,-0.0179865878092,0.516010135913,0.454849113108,-0.00200801084036
lightgbm,without_activity_flow,activity_flow,12,1,3,4341,-2.3718554888e-05,-0.207774540819,0.227892634757,-0.911721175368,0.501266989173,0.45536742686,-0.102962246769
lightgbm,without_activity_flow,activity_flow,12,1,4,4341,-5.39859968486e-06,-0.0472917332394,0.223521120786,-0.211576127899,0.497811564156,0.454964293941,-0.023435321232
lightgbm,without_activity_flow,activity_flow,12,1,5,4341,-2.11790051484e-05,-0.1855280851,0.224385215121,-0.826828474415,0.502879520848,0.453812485602,-0.0919380613491
lightgbm,without_activity_flow,activity_flow,12,1,6,4341,-2.88939097229e-05,-0.253110649173,0.228803720854,-1.10623484718,0.503340244183,0.464409122322,-0.125428462107
lightgbm,without_activity_flow,activity_flow,12,1,7,4341,-2.92332505007e-05,-0.256083274386,0.225719849976,-1.13451818443,0.508177839208,0.458650080627,-0.126901540423
lightgbm,without_activity_flow,activity_flow,12,1,8,4341,-1.4074775437e-05,-0.123295032828,0.224975342677,-0.548037982124,0.504261690855,0.458131766874,-0.0610986001721
lightgbm,without_activity_flow,activity_flow,12,1,9,4341,-4.75775710922e-05,-0.416779522768,0.224107485921,-1.8597304818,0.499654457498,0.457843814789,-0.206534236111
lightgbm,without_activity_flow,activity_flow,12,1,10,4341,-4.44251319974e-05,-0.389164156297,0.225744985109,-1.72391052722,0.498963372495,0.453121400599,-0.192849498001
lightgbm,without_activity_flow,activity_flow,12,1,11,4341,-4.37684887058e-05,-0.383411961063,0.22600892849,-1.69644608124,0.500806265837,0.453697304768,-0.189999009472
lightgbm,without_activity_flow,activity_flow,12,2,0,4341,-8.61764754297e-05,-0.754905924765,0.227659332631,-3.31594543496,0.493434692467,0.457210320203,-0.374092079841
lightgbm,without_activity_flow,activity_flow,12,2,1,4341,-6.77463431429e-05,-0.593457965932,0.226153217058,-2.62414116258,0.504031329187,0.453870076019,-0.294086875583
lightgbm,without_activity_flow,activity_flow,12,2,2,4341,-4.59474800369e-05,-0.402499925124,0.225342724955,-1.78616782594,0.508638562543,0.454849113108,-0.19945801084
lightgbm,without_activity_flow,activity_flow,12,2,3,4341,-6.9255297574e-05,-0.606676406748,0.227916948863,-2.66183103001,0.491361437457,0.45536742686,-0.300637246769
lightgbm,without_activity_flow,activity_flow,12,2,4,4341,-5.0895029079e-05,-0.445840454732,0.223515809973,-1.99467077871,0.485372034094,0.454964293941,-0.220935321232
lightgbm,without_activity_flow,activity_flow,12,2,5,4341,-6.65602537086e-05,-0.583067822487,0.224487032987,-2.59733408531,0.491591799125,0.453812485602,-0.288938061349
lightgbm,without_activity_flow,activity_flow,12,2,6,4341,-7.53348219551e-05,-0.659933040327,0.229034481154,-2.88136981384,0.496659755817,0.464409122322,-0.327028462107
lightgbm,without_activity_flow,activity_flow,12,2,7,4341,-7.50982585633e-05,-0.657860745015,0.225906375117,-2.91209464396,0.497581202488,0.458650080627,-0.326001540423
lightgbm,without_activity_flow,activity_flow,12,2,8,4341,-5.98879521244e-05,-0.52461846061,0.225095298546,-2.33065045782,0.491822160792,0.458131766874,-0.259973600172
lightgbm,without_activity_flow,activity_flow,12,2,9,4341,-9.33619525711e-05,-0.817850704523,0.224249909627,-3.64705031937,0.488136374107,0.457843814789,-0.405284236111
lightgbm,without_activity_flow,activity_flow,12,2,10,4341,-8.97372720573e-05,-0.786098503222,0.225865345666,-3.48038562934,0.489288182446,0.453121400599,-0.389549498001
lightgbm,without_activity_flow,activity_flow,12,2,11,4341,-8.91382191827e-05,-0.78085080004,0.226219687218,-3.45173671507,0.492743607464,0.453697304768,-0.386949009472
lightgbm,without_activity_flow,activity_flow,12,5,0,4341,-0.000223339571491,-1.95645464626,0.228669045949,-8.55583508532,0.466712739,0.457210320203,-0.969517079841
lightgbm,without_activity_flow,activity_flow,12,5,1,4341,-0.000203907365949,-1.78622852571,0.226979394148,-7.86956248788,0.480304077402,0.453870076019,-0.885161875583
lightgbm,without_activity_flow,activity_flow,12,5,2,4341,-0.000182402213969,-1.59784339437,0.226054070969,-7.0684123826,0.478000460723,0.454849113108,-0.79180801084
lightgbm,without_activity_flow,activity_flow,12,5,3,4341,-0.000205865525632,-1.80338200454,0.22853133349,-7.89118050903,0.463257313983,0.45536742686,-0.893662246769
lightgbm,without_activity_flow,activity_flow,12,5,4,4341,-0.000187384317261,-1.64148661921,0.224043688793,-7.32663628264,0.460953697305,0.454964293941,-0.813435321232
lightgbm,without_activity_flow,activity_flow,12,5,5,4341,-0.000202703999389,-1.77568703465,0.225336084141,-7.88017170628,0.463487675651,0.453812485602,-0.879938061349
lightgbm,without_activity_flow,activity_flow,12,5,6,4341,-0.000214657558652,-1.88040021379,0.230277388121,-8.16580485446,0.463257313983,0.464409122322,-0.931828462107
lightgbm,without_activity_flow,activity_flow,12,5,7,4341,-0.000212693282751,-1.8631931569,0.227006942905,-8.20764833472,0.471319972357,0.458650080627,-0.923301540423
lightgbm,without_activity_flow,activity_flow,12,5,8,4341,-0.000197327482187,-1.72858874395,0.225993225288,-7.64885204746,0.466021653997,0.458131766874,-0.856598600172
lightgbm,without_activity_flow,activity_flow,12,5,9,4341,-0.000230715097008,-2.02106424979,0.225219069537,-8.9737705335,0.466252015665,0.457843814789,-1.00153423611
lightgbm,without_activity_flow,activity_flow,12,5,10,4341,-0.000225673692237,-1.976901544,0.226768332112,-8.71771435448,0.463487675651,0.453121400599,-0.979649498001
lightgbm,without_activity_flow,activity_flow,12,5,11,4341,-0.000225247410613,-1.97316731697,0.227394840641,-8.67727390563,0.467173462336,0.453697304768,-0.977799009472
lightgbm,without_activity_flow,activity_flow,12,10,0,4341,-0.000451944731592,-3.95903584875,0.232120159321,-17.0559759235,0.4266298088,0.457210320203,-1.96189207984
lightgbm,without_activity_flow,activity_flow,12,10,1,4341,-0.000430842403958,-3.77417945868,0.230090722737,-16.4030057961,0.437226445519,0.453870076019,-1.87028687558
lightgbm,without_activity_flow,activity_flow,12,10,2,4341,-0.000409826770523,-3.59008250978,0.229007016007,-15.6767359026,0.43400138217,0.454849113108,-1.77905801084
lightgbm,without_activity_flow,activity_flow,12,10,3,4341,-0.000433549239062,-3.79789133418,0.231339400886,-16.4169671039,0.426860170468,0.45536742686,-1.88203724677
lightgbm,without_activity_flow,activity_flow,12,10,4,4341,-0.000414866464232,-3.63423022667,0.226717007933,-16.0298085257,0.422944022115,0.454964293941,-1.80093532123
lightgbm,without_activity_flow,activity_flow,12,10,5,4341,-0.000429610242191,-3.76338572159,0.22853650224,-16.4673287842,0.423635107118,0.453812485602,-1.86493806135
lightgbm,without_activity_flow,activity_flow,12,10,6,4341,-0.000446862119813,-3.91451216956,0.234148620069,-16.7180663649,0.423174383783,0.464409122322,-1.93982846211
lightgbm,without_activity_flow,activity_flow,12,10,7,4341,-0.000442018323065,-3.87208051005,0.230612368957,-16.7904285774,0.430776318821,0.458650080627,-1.91880154042
lightgbm,without_activity_flow,activity_flow,12,10,8,4341,-0.000426393365624,-3.73520588286,0.229255913705,-16.2927351469,0.428242340475,0.458131766874,-1.85097360017
lightgbm,without_activity_flow,activity_flow,12,10,9,4341,-0.000459637004403,-4.02642015857,0.228611239099,-17.6125206024,0.426169085464,0.457843814789,-1.99528423611
lightgbm,without_activity_flow,activity_flow,12,10,10,4341,-0.000452234392536,-3.96157327862,0.230052007426,-17.2203377964,0.425938723796,0.453121400599,-1.963149498
lightgbm,without_activity_flow,activity_flow,12,10,11,4341,-0.000452096062997,-3.96036151186,0.231129045346,-17.1348499533,0.431006680488,0.453697304768,-1.96254900947
lightgbm,without_calendar,calendar,12,0,0,4341,2.26700681054e-05,0.198589796603,0.216992001747,0.915194085517,0.515549412578,0.245104814559,0.0984107656455
lightgbm,without_calendar,calendar,12,0,1,4341,6.6269229443e-05,0.58051844992,0.213124526438,2.72384628659,0.521538815941,0.248963372495,0.287674725012
lightgbm,without_calendar,calendar,12,0,2,4341,4.77049483726e-05,0.417895347744,0.214121330483,1.95167546737,0.517622667588,0.254146510021,0.207087180886
lightgbm,without_calendar,calendar,12,0,3,4341,1.99916075719e-05,0.17512648233,0.219082296328,0.79936391605,0.515088689242,0.257601935038,0.0867835684695
lightgbm,without_calendar,calendar,12,0,4,4341,4.38939212757e-05,0.384510750375,0.214477125692,1.79278209336,0.516470859249,0.248848191661,0.190543512258
lightgbm,without_calendar,calendar,12,0,5,4341,3.54887383913e-05,0.310881348308,0.212558493371,1.46256846,0.512324349228,0.243895415803,0.154056613357
lightgbm,without_calendar,calendar,12,0,6,4341,2.32821820736e-05,0.203951914965,0.213040302271,0.95733958688,0.512554710896,0.25737157337,0.101067952382
lightgbm,without_calendar,calendar,12,0,7,4341,9.62671818342e-06,0.0843300512868,0.212677492564,0.396516106477,0.518313752592,0.255413499194,0.0417895836342
lightgbm,without_calendar,calendar,12,0,8,4341,6.47579148504e-05,0.567279334089,0.215407179287,2.63352101804,0.519235199263,0.249884819166,0.281114108366
lightgbm,without_calendar,calendar,12,0,9,4341,4.35828825638e-05,0.381786051259,0.216247059944,1.76550863331,0.519235199263,0.242916378715,0.18919329321
lightgbm,without_calendar,calendar,12,0,10,4341,4.08824756241e-05,0.358130486467,0.212238977689,1.68739262866,0.519695922598,0.236351071182,0.177470826684
lightgbm,without_calendar,calendar,12,0,11,4341,5.2786686997e-05,0.462411378093,0.214115833836,2.15963186752,0.520156645934,0.233759502419,0.229147008254
lightgbm,without_calendar,calendar,12,1,0,4341,-1.84041335049e-06,-0.0161220209503,0.21701297078,-0.0742905868361,0.512324349228,0.245104814559,-0.00798923435446
lightgbm,without_calendar,calendar,12,1,1,4341,4.13728921935e-05,0.362426535615,0.213067335524,1.70099529674,0.518083390924,0.248963372495,0.179599725012
lightgbm,without_calendar,calendar,12,1,2,4341,2.22902973706e-05,0.195263004966,0.214115349921,0.911952389394,0.512785072564,0.254146510021,0.0967621808857
lightgbm,without_calendar,calendar,12,1,3,4341,-5.76858593193e-06,-0.0505328127637,0.219165570946,-0.230569119709,0.510942179221,0.257601935038,-0.0250414315305
lightgbm,without_calendar,calendar,12,1,4,4341,1.90091021096e-05,0.16651973448,0.214393275447,0.776702226938,0.511172540889,0.248848191661,0.082518512258
lightgbm,without_calendar,calendar,12,1,5,4341,1.10991968111e-05,0.097228964065,0.21253800669,0.457466246058,0.508638562543,0.243895415803,0.0481816133568
lightgbm,without_calendar,calendar,12,1,6,4341,-2.45497526339e-06,-0.0215055833073,0.213099319103,-0.100918123051,0.507256392536,0.25737157337,-0.0106570476184
lightgbm,without_calendar,calendar,12,1,7,4341,-1.5914631736e-05,-0.139412174007,0.21267367033,-0.655521549944,0.514627965906,0.255413499194,-0.0690854163658
lightgbm,without_calendar,calendar,12,1,8,4341,3.97694329338e-05,0.3483802325,0.215372644699,1.61756955247,0.516470859249,0.249884819166,0.172639108366
lightgbm,without_calendar,calendar,12,1,9,4341,1.92912446924e-05,0.168991303505,0.216157807804,0.781795972221,0.515088689242,0.242916378715,0.0837432932095
lightgbm,without_calendar,calendar,12,1,10,4341,1.72473685059e-05,0.151086948112,0.212229624381,0.711903197079,0.515779774246,0.236351071182,0.0748708266841
lightgbm,without_calendar,calendar,12,1,11,4341,2.94107367551e-05,0.257638053975,0.214107518145,1.20331157078,0.516010135913,0.233759502419,0.127672008254
lightgbm,without_calendar,calendar,12,2,0,4341,-2.63508948064e-05,-0.230833838504,0.217093295199,-1.06329326427,0.506565307533,0.245104814559,-0.114389234354
lightgbm,without_calendar,calendar,12,2,1,4341,1.6476554944e-05,0.144334621309,0.213072103122,0.677398022522,0.512554710896,0.248963372495,0.0715247250119
lightgbm,without_calendar,calendar,12,2,2,4341,-3.1243536315e-06,-0.0273693378119,0.214172125746,-0.127791316058,0.507026030868,0.254146510021,-0.0135628191143
lightgbm,without_calendar,calendar,12,2,3,4341,-3.15287794357e-05,-0.276192107857,0.219310118115,-1.25936783141,0.505874222529,0.257601935038,-0.13686643153
lightgbm,without_calendar,calendar,12,2,4,4341,-5.87571705645e-06,-0.0514712814145,0.21437020199,-0.240104645779,0.507256392536,0.248848191661,-0.025506487742
lightgbm,without_calendar,calendar,12,2,5,4341,-1.32903447692e-05,-0.116423420178,0.212577056943,-0.547676319601,0.502418797512,0.243895415803,-0.0576933866432
lightgbm,without_calendar,calendar,12,2,6,4341,-2.81921326004e-05,-0.24696308158,0.213220240335,-1.1582534622,0.502879520848,0.25737157337,-0.122382047618
lightgbm,without_calendar,calendar,12,2,7,4341,-4.14559816553e-05,-0.363154399301,0.212733557959,-1.7070856276,0.508868924211,0.255413499194,-0.179960416366
lightgbm,without_calendar,calendar,12,2,8,4341,1.47809510172e-05,0.12948113091,0.21539854229,0.601123524485,0.511402902557,0.249884819166,0.0641641083656
lightgbm,without_calendar,calendar,12,2,9,4341,-5.0003931791e-06,-0.0438034442489,0.216127196816,-0.202674373676,0.510481455886,0.242916378715,-0.0217067067905
lightgbm,without_calendar,calendar,12,2,10,4341,-6.38773861227e-06,-0.0559565902435,0.212279124243,-0.263599119523,0.512785072564,0.236351071182,-0.0277291733159
lightgbm,without_calendar,calendar,12,2,11,4341,6.03478651321e-06,0.0528647298557,0.214156959835,0.246850393732,0.511633264225,0.233759502419,0.0261970082539
lightgbm,without_calendar,calendar,12,5,0,4341,-9.9882339174e-05,-0.874969291164,0.217689500983,-4.01934538512,0.491822160792,0.245104814559,-0.433589234354
lightgbm,without_calendar,calendar,12,5,1,4341,-5.82124568045e-05,-0.509941121607,0.213457845711,-2.38895468989,0.497811564156,0.248963372495,-0.252700274988
lightgbm,without_calendar,calendar,12,5,2,4341,-7.93683066377e-05,-0.695266366146,0.214718218595,-3.23804086443,0.493204330799,0.254146510021,-0.344537819114
lightgbm,without_calendar,calendar,12,5,3,4341,-0.000108809359947,-0.953169993137,0.220109931933,-4.33042700421,0.492513245796,0.257601935038,-0.47234143153
lightgbm,without_calendar,calendar,12,5,4,4341,-8.05301745547e-05,-0.705444329099,0.214665580207,-3.28624797892,0.49205252246,0.248848191661,-0.349581487742
lightgbm,without_calendar,calendar,12,5,5,4341,-8.64589695101e-05,-0.757380572908,0.213050852376,-3.55492862132,0.491131075789,0.243895415803,-0.375318386643
lightgbm,without_calendar,calendar,12,5,6,4341,-0.000105403604611,-0.923335576396,0.213953112153,-4.31559778264,0.485372034094,0.25737157337,-0.457557047618
lightgbm,without_calendar,calendar,12,5,7,4341,-0.000118080031413,-1.03438107518,0.213294657939,-4.84954046753,0.493434692467,0.255413499194,-0.512585416366
lightgbm,without_calendar,calendar,12,5,8,4341,-6.01844947327e-05,-0.527216173858,0.215838356801,-2.44264356749,0.49942409583,0.249884819166,-0.261260891634
lightgbm,without_calendar,calendar,12,5,9,4341,-7.78753067935e-05,-0.682187687511,0.216387221256,-3.15262464923,0.496429394149,0.242916378715,-0.33805670679
lightgbm,without_calendar,calendar,12,5,10,4341,-7.72930599668e-05,-0.677087205309,0.21278008794,-3.18209853123,0.500345542502,0.236351071182,-0.335529173316
lightgbm,without_calendar,calendar,12,5,11,4341,-6.40930642124e-05,-0.561455242501,0.214651196976,-2.61566322672,0.501036627505,0.233759502419,-0.278227991746
lightgbm,without_calendar,calendar,12,10,0,4341,-0.000222434746453,-1.94852837893,0.219854782958,-8.86279730974,0.46993780235,0.245104814559,-0.965589234354
lightgbm,without_calendar,calendar,12,10,1,4341,-0.000182694143052,-1.60040069313,0.215329025252,-7.43235005712,0.47730937572,0.248963372495,-0.793075274988
lightgbm,without_calendar,calendar,12,10,2,4341,-0.000206441561648,-1.80842808004,0.216868207437,-8.33883445348,0.471319972357,0.254146510021,-0.896162819114
lightgbm,without_calendar,calendar,12,10,3,4341,-0.000237610327466,-2.0814664686,0.222647364871,-9.34871369267,0.470398525685,0.257601935038,-1.03146643153
lightgbm,without_calendar,calendar,12,10,4,4341,-0.000204954270385,-1.79539940857,0.216365156639,-8.29800618762,0.471550334024,0.248848191661,-0.889706487742
lightgbm,without_calendar,calendar,12,10,5,4341,-0.000208406677411,-1.82564249412,0.215018510794,-8.49062942249,0.466252015665,0.243895415803,-0.904693386643
lightgbm,without_calendar,calendar,12,10,6,4341,-0.000234089391297,-2.05062306776,0.21639255971,-9.47640284172,0.464409122322,0.25737157337,-1.01618204762
