model,horizon_bars,horizon_minutes,cost_bps,cohort_count,total_periods,mean_cohort_sharpe,median_cohort_sharpe,worst_cohort_sharpe,best_cohort_sharpe,mean_annualized_net_return,median_annualized_net_return,worst_annualized_net_return,best_annualized_net_return,mean_annualized_volatility,mean_positive_fraction,mean_turnover,mean_cumulative_net_log_return
ridge,24,120,0,24,52056,1.04258076609,1.33823601069,-0.577485934759,2.79961935834,0.212567540604,0.267849077688,-0.119748715329,0.573431628146,0.20442399285,0.501421546027,1.40664380667,0.105264610861
tcn,24,120,0,24,52056,-0.479838595389,-0.497983883885,-2.8537603229,1.68510537419,-0.0850306465467,-0.088316712137,-0.497706956114,0.305927334413,0.179598062878,0.501978638389,1.41349700323,-0.0421076420913
transformer,24,120,0,24,52056,1.0512011486,1.18692627704,-0.579257163003,3.09539364037,0.215195676827,0.242877387635,-0.117910148457,0.622164545931,0.204554564082,0.516078838174,1.0669807515,0.106566078319
lightgbm,3,15,0.25,3,52092,0.621603122441,0.619962006262,-0.335285111857,1.58013247292,0.138334521213,0.138485329524,-0.0760748250908,0.352593059208,0.224471500628,0.507467557398,0.210968094909,0.0685513877383
mlp,3,15,0.25,3,52092,-5.14394251707,-4.9593784283,-7.13864764845,-3.33380147447,-0.909150054669,-0.881041987757,-1.24821952656,-0.598188649689,0.177312290357,0.48763725716,1.41317284804,-0.450527441475
momentum_12,3,15,0.25,3,52092,-10.674894993,-10.8027581173,-11.6070791255,-9.61484773627,-2.44841870448,-2.48075207759,-2.65865886329,-2.20584517255,0.229372090883,0.456365660754,0.838981993396,-1.21330885801
reversal_12,3,15,0.25,3,52092,4.26820342566,4.42624786988,3.21344835123,5.16491405588,0.978690981373,1.01631208024,0.736969987606,1.18279087627,0.229318180364,0.52476387929,0.838698840513,0.48498830481
ridge,3,15,0.25,3,52092,-1.39947108699,-1.89665392344,-2.40245095269,0.100691615164,-0.308309892113,-0.426460771743,-0.521053151586,0.0225842469899,0.222008082263,0.49262842663,1.36730208093,-0.152782333523
tcn,3,15,0.25,3,52092,-6.16704368434,-5.89592725253,-7.08466186612,-5.52054193436,-1.19214911264,-1.14350419047,-1.36324982586,-1.06969332158,0.193378952868,0.481379098518,1.36489768103,-0.590767043146
transformer,3,15,0.25,3,52092,-2.63698814364,-3.0231821161,-3.65483611138,-1.23294620343,-0.565115839581,-0.641000963035,-0.785819584075,-0.268526971633,0.214943219198,0.498214697074,1.04941257775,-0.280041993108
lightgbm,6,30,0.25,6,52092,0.321205756998,0.357300721791,-0.738104015724,0.971305599705,0.0709248262694,0.0784977614966,-0.161698068937,0.215753453436,0.220045618749,0.509483221992,0.26518467327,0.0351466519219
mlp,6,30,0.25,6,52092,-2.66995385379,-2.91920958144,-3.55187663202,-1.15206368292,-0.462728181519,-0.496908297166,-0.615694960449,-0.200338574076,0.17358897427,0.495507947478,1.44890290256,-0.229303999541
momentum_12,6,30,0.25,6,52092,-8.40181568314,-8.0437791555,-10.7359465345,-7.28383280327,-1.88048097199,-1.79199384546,-2.39410914146,-1.63244854172,0.223878994399,0.450606619059,1.13724756201,-0.931868481668
reversal_12,6,30,0.25,6,52092,3.96135108603,3.60309920732,2.86913897009,6.2204783449,0.886077794059,0.802252831082,0.642887786841,1.38667228649,0.223802680159,0.529236735007,1.13716117638,0.439094030138
ridge,6,30,0.25,6,52092,0.353630944853,0.67984860673,-1.38425367125,1.50613810828,0.0755070175631,0.145423962033,-0.305772980162,0.326783514911,0.215779086369,0.498848191661,1.36938973355,0.037417347402
tcn,6,30,0.25,6,52092,-3.47485983258,-3.15737083335,-5.40097411958,-2.00502794626,-0.651708353384,-0.593069243652,-1.00139656574,-0.380921117241,0.188034295579,0.485314443677,1.3787337787,-0.322952735393
transformer,6,30,0.25,6,52092,-0.977615276479,-1.27962493535,-1.708717313,0.221328029369,-0.205785838882,-0.267688961271,-0.358696199472,0.0471327076148,0.211398444848,0.500287952085,1.05118828227,-0.10197674961
lightgbm,12,60,0.25,12,52092,0.2224067685,0.0513601980704,-0.79894634466,1.53608612717,0.0486430535307,0.0109335122752,-0.171722609653,0.332179983922,0.21415900224,0.513476157567,0.335065845043,0.0241049652257
mlp,12,60,0.25,12,52092,-1.49483933524,-1.44446968423,-2.92710977886,-0.258757457292,-0.256857390112,-0.249493591647,-0.507070763664,-0.0439441459954,0.171811883748,0.497216463181,1.48619749674,-0.127285151881
momentum_12,12,60,0.25,12,52092,-5.31485613341,-5.17963192859,-6.76507049197,-4.25915983062,-1.1642660873,-1.12403224624,-1.46756235611,-0.932598715109,0.219179911237,0.452027182677,1.55794075866,-0.576949667235
reversal_12,12,60,0.25,12,52092,2.19569350567,2.03313604693,1.10396493091,3.56167771494,0.480620083691,0.437914077288,0.241747359355,0.772004966055,0.219146794914,0.528353681947,1.55781597942,0.238170294897
ridge,12,60,0.25,12,52092,0.366994546648,0.279357601787,-1.67695916509,2.24755454761,0.0778454297087,0.0590071329574,-0.353380076174,0.477784561274,0.210582448698,0.496371803732,1.39317457575,0.0385761427358
tcn,12,60,0.25,12,52092,-1.97050929456,-1.7908396125,-3.78715360137,-0.33484183314,-0.362389199618,-0.333291395705,-0.675390304597,-0.0601779075413,0.184079216101,0.490132841895,1.40961184059,-0.179581223235
transformer,12,60,0.25,12,52092,0.0808946325051,0.288794489303,-1.77973227859,0.867091114651,0.0176551469727,0.0602424619438,-0.364946625506,0.179813892092,0.207338396099,0.502284419873,1.00893131383,0.00874897180464
lightgbm,24,120,0.25,24,52056,0.437983392853,0.572651128646,-1.07268238898,1.94089927166,0.0926174196496,0.120040432495,-0.22048410289,0.416765222636,0.212109397976,0.512774704165,0.395377093899,0.0458646537032
mlp,24,120,0.25,24,52056,-0.875317930167,-0.797843794916,-3.11496468673,0.83429309472,-0.146517071568,-0.128661351726,-0.486074771337,0.139952377667,0.168135907455,0.501517596435,1.51728427079,-0.0725560566737
momentum_12,24,120,0.25,24,52056,-3.15320024967,-3.10853292784,-5.77127581436,-1.45310696523,-0.674563139319,-0.651665044295,-1.25685278333,-0.308126075823,0.213592774865,0.459870139849,1.54040840633,-0.334047362827
reversal_12,24,120,0.25,24,52056,1.57506479305,1.47966960196,-0.0992473545259,4.23616762961,0.337524938571,0.310458065781,-0.0210357476776,0.922523569168,0.21356522254,0.52700937452,1.54049004918,0.167144199032
ridge,24,120,0.25,24,52056,0.288744856834,0.574349941181,-1.31045920856,2.04334561054,0.0585400437736,0.113695896499,-0.271743701498,0.41857166964,0.204424969448,0.494294605809,1.40664380667,0.028989350444
tcn,24,120,0.25,24,52056,-1.34198155147,-1.36483207656,-3.73806817102,0.824103332227,-0.2398085684,-0.242097573133,-0.651948484468,0.151016891813,0.179595532365,0.494505916705,1.41349700323,-0.118754517091
transformer,24,120,0.25,24,52056,0.479792576603,0.613657509505,-1.15163097415,2.5006266678,0.0983612845381,0.125583905616,-0.234427437531,0.502656074285,0.204566179776,0.511237897649,1.0669807515,0.0487090470692
lightgbm,3,15,0.5,3,52092,-0.20170158164,-0.217356324658,-1.15381066819,0.766062247924,-0.0464735299268,-0.0485550989491,-0.261816186528,0.170950695697,0.224486279272,0.505547876833,0.210968094909,-0.0230298622617
mlp,3,15,0.5,3,52092,-12.1261940485,-11.92964203,-14.1990483355,-10.2498917799,-2.14708946955,-2.11925466917,-2.4829259882,-1.83908775128,0.177312291956,0.466213622053,1.41317284804,-1.06398577481
momentum_12,3,15,0.5,3,52092,-13.8776148682,-13.9882067331,-14.8281594587,-12.8164784128,-3.18336693069,-3.21266914739,-3.39685685914,-2.94057478555,0.229396119741,0.445999385702,0.838981993396,-1.57751094134
reversal_12,3,15,0.5,3,52092,1.06431517113,1.24011328644,0.010483038898,1.94234918803,0.243990797084,0.284748154875,0.00240433453113,0.444819901845,0.229326884418,0.514992705214,0.838698840513,0.120909138144
ridge,3,15,0.5,3,52092,-6.79557581041,-7.18478383054,-7.94760209474,-5.25434150595,-1.50606651501,-1.61553592724,-1.72392616472,-1.17873745308,0.222034192479,0.474410658066,1.36730208093,-0.746328166857
