model,cost_bps,cohort_count,total_periods,mean_cohort_net_return,median_cohort_net_return,worst_cohort_net_return,best_cohort_net_return,mean_cohort_annualized_net_return,median_cohort_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction,pooled_mean_net_return,pooled_annualized_net_return,pooled_cumulative_net_log_return,mean_turnover
tcn,2.4,12,52092,-0.00034443517582,-0.000341590213384,-0.000381026440373,-0.000309409937441,-3.01725214019,-2.99233026924,-3.33779161766,-2.71043105198,0,-0.00034443517582,-3.01725214019,-17.9423171788,1.40961184059
tcn,2.5,12,52092,-0.000358531294226,-0.0003557085041,-0.000395162584118,-0.000323481579919,-3.14073413742,-3.11600649592,-3.46162423688,-2.83369864009,0,-0.000358531294226,-3.14073413742,-18.6766121788,1.40961184059
tcn,2.6,12,52092,-0.000372627412632,-0.000369826794817,-0.000409298727864,-0.000337553222398,-3.26421613466,-3.23968272259,-3.58545685609,-2.95696622821,0,-0.000372627412632,-3.26421613466,-19.4109071788,1.40961184059
tcn,2.7,12,52092,-0.000386723531038,-0.000383945085533,-0.00042343487161,-0.000351624864877,-3.38769813189,-3.36335894927,-3.7092894753,-3.08023381632,0,-0.000386723531038,-3.38769813189,-20.1452021788,1.40961184059
tcn,2.8,12,52092,-0.000400819649444,-0.00039806337625,-0.000437571015355,-0.000365696507355,-3.51118012913,-3.48703517595,-3.83312209451,-3.20350140443,0,-0.000400819649444,-3.51118012913,-20.8794971788,1.40961184059
tcn,2.9,12,52092,-0.00041491576785,-0.000412181666966,-0.000451707159101,-0.000379768149834,-3.63466212637,-3.61071140262,-3.95695471372,-3.32676899255,0,-0.00041491576785,-3.63466212637,-21.6137921788,1.40961184059
tcn,3,12,52092,-0.000429011886256,-0.000426299957682,-0.000465843302847,-0.000393839792313,-3.7581441236,-3.7343876293,-4.08078733294,-3.45003658066,0,-0.000429011886256,-3.7581441236,-22.3480871788,1.40961184059
tcn,3.1,12,52092,-0.000443108004662,-0.000440418248399,-0.000479979446592,-0.000407911434792,-3.88162612084,-3.85806385597,-4.20461995215,-3.57330416877,0,-0.000443108004662,-3.88162612084,-23.0823821788,1.40961184059
tcn,3.2,12,52092,-0.000457204123068,-0.000454536539115,-0.000494115590338,-0.00042198307727,-4.00510811807,-3.98174008265,-4.32845257136,-3.69657175689,0,-0.000457204123068,-4.00510811807,-23.8166771788,1.40961184059
tcn,3.3,12,52092,-0.000471300241474,-0.000468654829832,-0.000508251734084,-0.000436054719749,-4.12859011531,-4.10541630933,-4.45228519057,-3.819839345,0,-0.000471300241474,-4.12859011531,-24.5509721788,1.40961184059
tcn,3.4,12,52092,-0.00048539635988,-0.000482773120548,-0.00052238787783,-0.000450126362228,-4.25207211254,-4.229092536,-4.57611780979,-3.94310693311,0,-0.00048539635988,-4.25207211254,-25.2852671788,1.40961184059
tcn,3.5,12,52092,-0.000499492478285,-0.000496891411265,-0.000536524021575,-0.000464198004706,-4.37555410978,-4.35276876268,-4.699950429,-4.06637452123,0,-0.000499492478285,-4.37555410978,-26.0195621788,1.40961184059
tcn,3.6,12,52092,-0.000513588596691,-0.000511009701981,-0.000550660165321,-0.000478269647185,-4.49903610702,-4.47644498935,-4.82378304821,-4.18964210934,0,-0.000513588596691,-4.49903610702,-26.7538571788,1.40961184059
tcn,3.7,12,52092,-0.000527684715097,-0.000525127992698,-0.000564796309067,-0.000492341289664,-4.62251810425,-4.60012121603,-4.94761566742,-4.31290969745,0,-0.000527684715097,-4.62251810425,-27.4881521788,1.40961184059
tcn,3.8,12,52092,-0.000541780833503,-0.000539246283414,-0.000578932452812,-0.000506412932142,-4.74600010149,-4.72379744271,-5.07144828664,-4.43617728557,0,-0.000541780833503,-4.74600010149,-28.2224471788,1.40961184059
tcn,3.9,12,52092,-0.000555876951909,-0.00055336457413,-0.000593068596558,-0.000520484574621,-4.86948209872,-4.84747366938,-5.19528090585,-4.55944487368,0,-0.000555876951909,-4.86948209872,-28.9567421788,1.40961184059
tcn,4,12,52092,-0.000569973070315,-0.000567482864847,-0.000607204740304,-0.0005345562171,-4.99296409596,-4.97114989606,-5.31911352506,-4.68271246179,0,-0.000569973070315,-4.99296409596,-29.6910371788,1.40961184059
tcn,4.1,12,52092,-0.000584069188721,-0.000581601155563,-0.000621340884049,-0.000548627859579,-5.1164460932,-5.09482612274,-5.44294614427,-4.80598004991,0,-0.000584069188721,-5.1164460932,-30.4253321788,1.40961184059
tcn,4.2,12,52092,-0.000598165307127,-0.00059571944628,-0.000635477027795,-0.000562699502057,-5.23992809043,-5.21850234941,-5.56677876349,-4.92924763802,0,-0.000598165307127,-5.23992809043,-31.1596271788,1.40961184059
tcn,4.3,12,52092,-0.000612261425533,-0.000609837736996,-0.000649613171541,-0.000576771144536,-5.36341008767,-5.34217857609,-5.6906113827,-5.05251522613,0,-0.000612261425533,-5.36341008767,-31.8939221789,1.40961184059
tcn,4.4,12,52092,-0.000626357543939,-0.000623956027713,-0.000663749315286,-0.000590842787015,-5.4868920849,-5.46585480276,-5.81444400191,-5.17578281425,0,-0.000626357543939,-5.4868920849,-32.6282171789,1.40961184059
tcn,4.5,12,52092,-0.000640453662345,-0.000638118553805,-0.000677885459032,-0.000604914429493,-5.61037408214,-5.58991853134,-5.93827662112,-5.29905040236,0,-0.000640453662345,-5.61037408214,-33.3625121789,1.40961184059
tcn,4.6,12,52092,-0.00065454978075,-0.000652322078339,-0.000692021602778,-0.000618986071972,-5.73385607937,-5.71434140625,-6.06210924033,-5.42231799047,0,-0.00065454978075,-5.73385607937,-34.0968071789,1.40961184059
