model,horizon_bars,horizon_minutes,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,3,15,10,0,17364,-0.000204226352195,-7.15609138091,0.231803170748,-30.8714128362,0.431755355909,0.213516470859,-3.54618637951
lightgbm,3,15,10,1,17364,-0.000208903764873,-7.31998792115,0.23516945627,-31.1264397905,0.42870306381,0.212033517623,-3.62740497326
lightgbm,3,15,10,2,17364,-0.000192107851533,-6.73145911771,0.231141831723,-29.1226346504,0.432158488827,0.207354296245,-3.33576073402
mlp,3,15,0,0,17364,1.8342193262e-05,0.6427104519,0.179450228365,3.58155271106,0.516413268832,1.41655148583,0.318493843801
mlp,3,15,0,1,17364,1.01932275586e-05,0.357170693652,0.177670193202,2.01030171249,0.50662289795,1.41348479613,0.176995203327
mlp,3,15,0,2,17364,-3.85646829771e-07,-0.0135130649152,0.174854783186,-0.0772816429091,0.502937111265,1.40948226215,-0.00669637155214
mlp,3,15,0.25,0,17364,-1.70715938838e-05,-0.598188649689,0.179431395141,-3.33380147447,0.495853489979,1.41655148583,-0.296431156199
mlp,3,15,0.25,1,17364,-2.51438923447e-05,-0.881041987757,0.177651695771,-4.9593784283,0.484623358673,1.41348479613,-0.436598546673
mlp,3,15,0.25,2,17364,-3.56227033836e-05,-1.24821952656,0.17485378016,-7.13864764845,0.482434922829,1.40948226215,-0.618552621552
mlp,3,15,0.5,0,17364,-5.24853810296e-05,-1.83908775128,0.179425089628,-10.2498917799,0.472990094448,1.41655148583,-0.911356156199
mlp,3,15,0.5,1,17364,-6.04810122479e-05,-2.11925466917,0.177646124154,-11.92964203,0.464812255241,1.41348479613,-1.05019229667
mlp,3,15,0.5,2,17364,-7.08597599373e-05,-2.4829259882,0.174865662088,-14.1990483355,0.460838516471,1.40948226215,-1.23040887155
mlp,3,15,1,0,17364,-0.000123312955321,-4.32088595446,0.179450064389,-24.0784865091,0.43325270675,1.41655148583,-2.1412061562
mlp,3,15,1,1,17364,-0.000131155252054,-4.59568003199,0.177673760401,-25.8658342211,0.427896797973,1.41348479613,-2.27737979667
mlp,3,15,1,2,17364,-0.000141333873045,-4.95233891149,0.174928067457,-28.310716419,0.421273900023,1.40948226215,-2.45412137155
mlp,3,15,2,0,17364,-0.000264968103905,-9.28448236082,0.179650228868,-51.6808824532,0.353950702603,1.41655148583,-4.6009061562
mlp,3,15,2,1,17364,-0.000272503731667,-9.54853075763,0.1778840073,-53.6784104571,0.348018889657,1.41348479613,-4.73175479667
mlp,3,15,2,2,17364,-0.00028228209926,-9.89116475807,0.175207191908,-56.4541024278,0.344793826307,1.40948226215,-4.90154637155
mlp,3,15,5,0,17364,-0.000689933549654,-24.1752715799,0.181442745636,-133.239119013,0.180891499654,1.41655148583,-11.9800061562
mlp,3,15,5,1,17364,-0.000696549170506,-24.4070829345,0.179744009131,-135.788019042,0.181006680488,1.41348479613,-12.0948797967
mlp,3,15,5,2,17364,-0.000705126777906,-24.7076422978,0.177266298036,-139.381498749,0.173001612532,1.40948226215,-12.2438213716
mlp,3,15,10,0,17364,-0.00139820929257,-48.9932536117,0.188252502698,-260.252867344,0.0612762036397,1.41655148583,-24.2785061562
mlp,3,15,10,1,17364,-0.00140329156857,-49.1713365627,0.186778755386,-263.259793444,0.0611610228058,1.41348479613,-24.3667547967
mlp,3,15,10,2,17364,-0.00140986790898,-49.4017715307,0.184593956869,-267.623991428,0.0585118636259,1.40948226215,-24.4809463716
momentum_12,3,15,0,0,17364,-4.198389154e-05,-1.47111555956,0.229415116397,-6.41246131755,0.466712739,0.838732434923,-0.7290082927
