model,fold,month,cost_bps,period_count,cohort_count,total_gross_log_return,total_turnover,mean_turnover,break_even_cost_bps,pooled_gross_mean_return,pooled_net_mean_return,equal_weighted_net_mean_return,pooled_annualized_net_return,equal_weighted_annualized_net_return,worst_cohort_annualized_net_return,best_cohort_annualized_net_return,positive_cohort_fraction
mlp,1,2026-01,0.5,8928,12,0.608217630409,13330,1.49305555556,0.456277292129,6.81247345888e-05,-6.528043189e-06,-6.528043189e-06,-0.0571856583357,-0.0571856583357,-1.05878998495,1.04391999053,0.5
mlp,1,2026-01,1,8928,12,0.608217630409,13330,1.49305555556,0.456277292129,6.81247345888e-05,-8.11808209668e-05,-8.11808209668e-05,-0.711143991669,-0.711143991669,-1.71122748495,0.39133531311,0.0833333333333
mlp,1,2026-02,0,8052,12,-0.161048099714,12178.5,1.51248137109,-0.132239684455,-2.00010059257e-05,-2.00010059257e-05,-2.00010059257e-05,-0.175208811909,-0.175208811909,-1.41988313634,0.426647673889,0.416666666667
mlp,1,2026-02,0.5,8052,12,-0.161048099714,12178.5,1.51248137109,-0.132239684455,-2.00010059257e-05,-9.56250744801e-05,-9.56250744801e-05,-0.837675652446,-0.837675652446,-2.08079967881,-0.236390329092,0
mlp,1,2026-02,1,8052,12,-0.161048099714,12178.5,1.51248137109,-0.132239684455,-2.00010059257e-05,-0.000171249143035,-0.000171249143035,-1.50014249298,-1.50014249298,-2.74171622128,-0.899428332073,0
mlp,2,2026-03,0,8928,12,0.947832927211,13276.5,1.48706317204,0.713917769902,0.000106164082349,0.000106164082349,0.000106164082349,0.929997361376,0.929997361376,0.147276370364,2.34419165777,1
mlp,2,2026-03,0.5,8928,12,0.947832927211,13276.5,1.48706317204,0.713917769902,0.000106164082349,3.18109237467e-05,3.18109237467e-05,0.278663692021,0.278663692021,-0.510165161894,1.68807472229,0.666666666667
mlp,2,2026-03,1,8928,12,0.947832927211,13276.5,1.48706317204,0.713917769902,0.000106164082349,-4.25422348554e-05,-4.25422348554e-05,-0.372669977334,-0.372669977334,-1.16760669415,1.0319577868,0.25
mlp,2,2026-04,0,8628,12,0.239131269764,12742.75,1.47690658322,0.187660646065,2.77157243584e-05,2.77157243584e-05,2.77157243584e-05,0.242789745379,0.242789745379,-0.294523952201,1.06836810273,0.916666666667
mlp,2,2026-04,0.5,8628,12,0.239131269764,12742.75,1.47690658322,0.187660646065,2.77157243584e-05,-4.61296048025e-05,-4.61296048025e-05,-0.40409533807,-0.40409533807,-0.939340363884,0.421267268241,0.0833333333333
mlp,2,2026-04,1,8628,12,0.239131269764,12742.75,1.47690658322,0.187660646065,2.77157243584e-05,-0.000119974933963,-0.000119974933963,-1.05098042152,-1.05098042152,-1.58415677557,-0.225833566252,0
mlp,3,2026-05,0,8928,12,-0.792737829932,13126,1.47020609319,-0.603944712732,-8.87923196609e-05,-8.87923196609e-05,-8.87923196609e-05,-0.777820720229,-0.777820720229,-1.3609340704,0.0820061729236,0.0833333333333
mlp,3,2026-05,0.5,8928,12,-0.792737829932,13126,1.47020609319,-0.603944712732,-8.87923196609e-05,-0.00016230262432,-0.00016230262432,-1.42177098905,-1.42177098905,-1.9958574575,-0.554388988367,0
mlp,3,2026-05,1,8928,12,-0.792737829932,13126,1.47020609319,-0.603944712732,-8.87923196609e-05,-0.00023581292898,-0.00023581292898,-2.06572125786,-2.06572125786,-2.6307808446,-1.19078414966,0
mlp,3,2026-06,0,8628,12,-0.433342720304,12765.25,1.47951437181,-0.339470609901,-5.02251646157e-05,-5.02251646157e-05,-5.02251646157e-05,-0.439972442033,-0.439972442033,-1.15416754775,0.724708789851,0.25
mlp,3,2026-06,0.5,8628,12,-0.433342720304,12765.25,1.47951437181,-0.339470609901,-5.02251646157e-05,-0.000124200883206,-0.000124200883206,-1.08799973689,-1.08799973689,-1.81649786764,0.074714353133,0.0833333333333
mlp,3,2026-06,1,8628,12,-0.433342720304,12765.25,1.47951437181,-0.339470609901,-5.02251646157e-05,-0.000198176601797,-0.000198176601797,-1.73602703174,-1.73602703174,-2.47882818753,-0.575280083585,0
momentum_12,1,2026-01,0,8928,12,-0.734559834383,14090.75,1.57826500896,-0.521306413344,-8.22759671127e-05,-8.22759671127e-05,-8.22759671127e-05,-0.720737471908,-0.720737471908,-1.44943038334,0.220114395747,0.0833333333333
momentum_12,1,2026-01,0.5,8928,12,-0.734559834383,14090.75,1.57826500896,-0.521306413344,-8.22759671127e-05,-0.000161189217561,-0.000161189217561,-1.41201754583,-1.41201754583,-2.1419001414,-0.471030765543,0
momentum_12,1,2026-01,1,8928,12,-0.734559834383,14090.75,1.57826500896,-0.521306413344,-8.22759671127e-05,-0.000240102468009,-0.000240102468009,-2.10329761976,-2.10329761976,-2.83436989947,-1.16217592683,0
momentum_12,1,2026-02,0,8052,12,-0.360297857991,12552,1.55886736215,-0.287044182593,-4.47463807738e-05,-4.47463807738e-05,-4.47463807738e-05,-0.391978295578,-0.391978295578,-1.11967248492,1.1411786493,0.166666666667
momentum_12,1,2026-02,0.5,8052,12,-0.360297857991,12552,1.55886736215,-0.287044182593,-4.47463807738e-05,-0.000122689748881,-0.000122689748881,-1.0747622002,-1.0747622002,-1.802130011,0.473244968228,0.0833333333333
momentum_12,1,2026-02,1,8052,12,-0.360297857991,12552,1.55886736215,-0.287044182593,-4.47463807738e-05,-0.000200633116988,-0.000200633116988,-1.75754610482,-1.75754610482,-2.48458753708,-0.194688712845,0
momentum_12,2,2026-03,0,8928,12,-1.55491453727,14095.25,1.57876904122,-1.1031478954,-0.000174161574515,-0.000174161574515,-0.000174161574515,-1.52565539275,-1.52565539275,-2.27407664858,-0.68133219677,0
momentum_12,2,2026-03,0.5,8928,12,-1.55491453727,14095.25,1.57876904122,-1.1031478954,-0.000174161574515,-0.000253100026576,-0.000253100026576,-2.2171562328,-2.2171562328,-2.967723826,-1.36659026129,0
momentum_12,2,2026-03,1,8928,12,-1.55491453727,14095.25,1.57876904122,-1.1031478954,-0.000174161574515,-0.000332038478637,-0.000332038478637,-2.90865707286,-2.90865707286,-3.66137100342,-2.0518483258,0
momentum_12,2,2026-04,0,8628,12,-1.02975130617,13555,1.57104775151,-0.759683737494,-0.000119349942765,-0.000119349942765,-0.000119349942765,-1.04550549862,-1.04550549862,-1.88614138323,-0.54361009662,0
momentum_12,2,2026-04,0.5,8628,12,-1.02975130617,13555,1.57104775151,-0.759683737494,-0.000119349942765,-0.00019790233034,-0.00019790233034,-1.73362441378,-1.73362441378,-2.57908296876,-1.23000300343,0
momentum_12,2,2026-04,1,8628,12,-1.02975130617,13555,1.57104775151,-0.759683737494,-0.000119349942765,-0.000276454717915,-0.000276454717915,-2.42174332894,-2.42174332894,-3.2720245543,-1.91639591025,0
momentum_12,3,2026-05,0,8928,12,-0.0643734977233,13631.75,1.52685371864,-0.0472232088494,-7.21029320377e-06,-7.21029320377e-06,-7.21029320377e-06,-0.063162168465,-0.063162168465,-1.50760037614,1.03445752594,0.416666666667
momentum_12,3,2026-05,0.5,8928,12,-0.0643734977233,13631.75,1.52685371864,-0.0472232088494,-7.21029320377e-06,-8.35529791357e-05,-8.35529791357e-05,-0.731924097228,-0.731924097228,-2.18741287614,0.370687364645,0.166666666667
momentum_12,3,2026-05,1,8928,12,-0.0643734977233,13631.75,1.52685371864,-0.0472232088494,-7.21029320377e-06,-0.000159895665068,-0.000159895665068,-1.40068602599,-1.40068602599,-2.86722537614,-0.293082796645,0
momentum_12,3,2026-06,0,8628,12,-1.15059272328,13231.5,1.53355354659,-0.869586005576,-0.000133355670292,-0.000133355670292,-0.000133355670292,-1.16819567176,-1.16819567176,-1.86809345311,-0.7369899343,0
momentum_12,3,2026-06,0.5,8628,12,-1.15059272328,13231.5,1.53355354659,-0.869586005576,-0.000133355670292,-0.000210033347621,-0.000210033347621,-1.83989212516,-1.83989212516,-2.54184588704,-1.40449827922,0
momentum_12,3,2026-06,1,8628,12,-1.15059272328,13231.5,1.53355354659,-0.869586005576,-0.000133355670292,-0.000286711024951,-0.000286711024951,-2.51158857857,-2.51158857857,-3.21559832098,-2.07200662415,0
reversal_12,1,2026-01,0,8928,12,0.727351508934,14088.5,1.57801299283,0.516273207889,8.14685829899e-05,8.14685829899e-05,8.14685829899e-05,0.713664786992,0.713664786992,-0.19676815533,1.46709527827,0.916666666667
reversal_12,1,2026-01,0.5,8928,12,0.727351508934,14088.5,1.57801299283,0.516273207889,8.14685829899e-05,2.56793334834e-06,2.56793334834e-06,0.0224950961314,0.0224950961314,-0.887913316621,0.774772697625,0.666666666667
reversal_12,1,2026-01,1,8928,12,0.727351508934,14088.5,1.57801299283,0.516273207889,8.14685829899e-05,-7.63327162932e-05,-7.63327162932e-05,-0.668674594729,-0.668674594729,-1.57905847791,0.0824501169797,0.0833333333333
reversal_12,1,2026-02,0,8052,12,0.352161834207,12551.5,1.55880526577,0.280573504527,4.37359456292e-05,4.37359456292e-05,4.37359456292e-05,0.383126883712,0.383126883712,-1.12719386879,1.07380569266,0.833333333333
reversal_12,1,2026-02,0.5,8052,12,0.352161834207,12551.5,1.55880526577,0.280573504527,4.37359456292e-05,-3.42043176594e-05,-3.42043176594e-05,-0.299629822696,-0.299629822696,-1.79447479278,0.391511355844,0.5
reversal_12,1,2026-02,1,8052,12,0.352161834207,12551.5,1.55880526577,0.280573504527,4.37359456292e-05,-0.000112144580948,-0.000112144580948,-0.982386529105,-0.982386529105,-2.46175571678,-0.290782980966,0
reversal_12,2,2026-03,0,8928,12,1.55570540677,14093.5,1.57857302867,1.10384603311,0.000174250157568,0.000174250157568,0.000174250157568,1.5264313803,1.5264313803,0.704546565833,2.25959545272,1
reversal_12,2,2026-03,0.5,8928,12,1.55570540677,14093.5,1.57857302867,1.10384603311,0.000174250157568,9.53215061345e-05,9.53215061345e-05,0.835016393738,0.835016393738,0.0191413238975,1.56580109788,1
reversal_12,2,2026-03,1,8928,12,1.55570540677,14093.5,1.57857302867,1.10384603311,0.000174250157568,1.63928547008e-05,1.63928547008e-05,0.143601407179,0.143601407179,-0.666263918038,0.872006743041,0.666666666667
reversal_12,2,2026-04,0,8628,12,1.02928914883,13553,1.57081594808,0.759454843082,0.000119296377936,0.000119296377936,0.000119296377936,1.04503627072,1.04503627072,0.524872749646,1.89309797339,1
reversal_12,2,2026-04,0.5,8628,12,1.02928914883,13553,1.57081594808,0.759454843082,0.000119296377936,4.07555805319e-05,4.07555805319e-05,0.35701888546,0.35701888546,-0.161367862315,1.20015638785,0.75
reversal_12,2,2026-04,1,8628,12,1.02928914883,13553,1.57081594808,0.759454843082,0.000119296377936,-3.77852168719e-05,-3.77852168719e-05,-0.330998499797,-0.330998499797,-0.847608474276,0.507214802319,0.166666666667
reversal_12,3,2026-05,0,8928,12,0.0643257358906,13631.75,1.52685371864,0.0471881716511,7.20494353613e-06,7.20494353613e-06,7.20494353613e-06,0.0631153053765,0.0631153053765,-1.07455063445,1.51121399768,0.583333333333
reversal_12,3,2026-05,0.5,8928,12,0.0643257358906,13631.75,1.52685371864,0.0471881716511,7.20494353613e-06,-6.91377423958e-05,-6.91377423958e-05,-0.605646623387,-0.605646623387,-1.73817361832,0.831254320261,0.0833333333333
reversal_12,3,2026-05,1,8928,12,0.0643257358906,13631.75,1.52685371864,0.0471881716511,7.20494353613e-06,-0.000145480428328,-0.000145480428328,-1.27440855215,-1.27440855215,-2.40179660219,0.151294642841,0.0833333333333
reversal_12,3,2026-06,0,8628,12,1.15795365414,13231.5,1.53355354659,0.875149192563,0.000134208814805,0.000134208814805,0.000134208814805,1.17566921769,1.17566921769,0.759291071397,1.91298945033,1
reversal_12,3,2026-06,0.5,8628,12,1.15795365414,13231.5,1.53355354659,0.875149192563,0.000134208814805,5.75311374756e-05,5.75311374756e-05,0.503972764286,0.503972764286,0.0917827264734,1.23893242668,1
reversal_12,3,2026-06,1,8628,12,1.15795365414,13231.5,1.53355354659,0.875149192563,0.000134208814805,-1.9146539854e-05,-1.9146539854e-05,-0.167723689121,-0.167723689121,-0.57572561845,0.564875403039,0.25
ridge,1,2026-01,0,8928,12,0.0377282210823,12601,1.41140232975,0.0299406563624,4.22583121441e-06,4.22583121441e-06,4.22583121441e-06,0.0370182814382,0.0370182814382,-0.710150692391,0.958018148473,0.666666666667
ridge,1,2026-01,0.5,8928,12,0.0377282210823,12601,1.41140232975,0.0299406563624,4.22583121441e-06,-6.6344285273e-05,-6.6344285273e-05,-0.581175938992,-0.581175938992,-1.33079786981,0.336340729118,0.0833333333333
ridge,1,2026-01,1,8928,12,0.0377282210823,12601,1.41140232975,0.0299406563624,4.22583121441e-06,-0.00013691440176,-0.00013691440176,-1.19937015942,-1.19937015942,-1.95144504723,-0.285336690237,0
ridge,1,2026-02,0,8052,12,0.267385530534,11285.25,1.4015461997,0.236933635084,3.32073435834e-05,3.32073435834e-05,3.32073435834e-05,0.290896329791,0.290896329791,-0.662738115355,1.18181844133,0.666666666667
ridge,1,2026-02,0.5,8052,12,0.267385530534,11285.25,1.4015461997,0.236933635084,3.32073435834e-05,-3.68699664017e-05,-3.68699664017e-05,-0.322980905679,-0.322980905679,-1.27143409151,0.563820676798,0.333333333333
ridge,1,2026-02,1,8052,12,0.267385530534,11285.25,1.4015461997,0.236933635084,3.32073435834e-05,-0.000106947276387,-0.000106947276387,-0.936858141148,-0.936858141148,-1.88013006767,-0.0541770877321,0
