model,top_count,cost_bps,cohort,period_count,mean_net_return,annualized_net_return,annualized_volatility,annualized_sharpe,positive_fraction,mean_turnover,cumulative_net_log_return
lightgbm,1,2,0,4341,-0.000154915025376,-1.3570556223,0.427924285907,-3.17125170734,0.49735084082,0.69062428012,-0.672486125159
lightgbm,1,2,1,4341,-0.000144431909903,-1.26522353075,0.429672537634,-2.94462275322,0.491591799125,0.703985256853,-0.626978920889
lightgbm,1,2,2,4341,-0.000156256468013,-1.3688066598,0.412021299543,-3.32217451213,0.507256392536,0.69799585349,-0.678309327646
lightgbm,1,2,3,4341,-0.000105675615751,-0.925718393976,0.420594646443,-2.20097521879,0.504031329187,0.7000691085,-0.458737847974
lightgbm,1,2,4,4341,-0.000161819386189,-1.41753782302,0.415243441846,-3.41375126051,0.489518544114,0.694770790141,-0.702457955447
lightgbm,1,2,5,4341,-0.000169835037599,-1.48775492936,0.425118268277,-3.49962596384,0.493665054135,0.706979958535,-0.737253898216
lightgbm,1,2,6,4341,-0.000235228535716,-2.06060197287,0.427782942527,-4.81693346793,0.4867542041,0.717806956922,-1.02112707354
lightgbm,1,2,7,4341,-0.00015001144301,-1.31410024077,0.428216830453,-3.06877298442,0.490900714121,0.711817553559,-0.651199674107
lightgbm,1,2,8,4341,-0.000110235475017,-0.965662761152,0.426218886231,-2.26564986289,0.492513245796,0.709974660217,-0.47853219705
lightgbm,1,2,9,4341,-0.000218068689569,-1.91028172063,0.429492595304,-4.44776403951,0.495507947478,0.695692236812,-0.94663618142
lightgbm,1,2,10,4341,-0.00017609706828,-1.54261031813,0.430378967029,-3.58430693949,0.497120479152,0.696383321815,-0.764437373404
lightgbm,1,2,11,4341,-0.00011238410712,-0.98448477837,0.432890481673,-2.27421211611,0.505874222529,0.697765491822,-0.487859409007
lightgbm,1,5,0,4341,-0.000362102309412,-3.17201623045,0.428772877617,-7.39789384086,0.470859249021,0.69062428012,-1.57188612516
lightgbm,1,5,1,4341,-0.000355627486959,-3.11529678576,0.430788889544,-7.23160894205,0.46463948399,0.703985256853,-1.54377892089
lightgbm,1,5,2,4341,-0.00036565522406,-3.20313976277,0.413354238582,-7.74913975421,0.471319972357,0.69799585349,-1.58730932765
lightgbm,1,5,3,4341,-0.000315696348301,-2.76550001111,0.42138662138,-6.5628566993,0.471550334024,0.7000691085,-1.37043784797
lightgbm,1,5,4,4341,-0.000370250623231,-3.24339545951,0.416308586243,-7.79084450017,0.457958995623,0.694770790141,-1.60725795545
lightgbm,1,5,5,4341,-0.000381929025159,-3.34569826039,0.426671751339,-7.84138685042,0.461184058973,0.706979958535,-1.65795389822
lightgbm,1,5,6,4341,-0.000450570622792,-3.94699865566,0.429019026262,-9.20005504197,0.455885740613,0.717806956922,-1.95592707354
lightgbm,1,5,7,4341,-0.000363556709078,-3.18475677152,0.429203713208,-7.42015195469,0.464869845658,0.711817553559,-1.57819967411
lightgbm,1,5,8,4341,-0.000323227873082,-2.8314761682,0.427128402705,-6.62909829988,0.464869845658,0.709974660217,-1.40313219705
lightgbm,1,5,9,4341,-0.000426776360613,-3.73856091897,0.43034754292,-8.68730629576,0.459801888966,0.695692236812,-1.85263618142
lightgbm,1,5,10,4341,-0.000385012064825,-3.37270568786,0.431533864452,-7.81562228529,0.465100207326,0.696383321815,-1.6713373734
lightgbm,1,5,11,4341,-0.000321713754666,-2.81821249088,0.434188780445,-6.49075383291,0.476618290716,0.697765491822,-1.39655940901
lightgbm,1,10,0,4341,-0.000707414449472,-6.19695057738,0.432365842395,-14.332655288,0.424326192122,0.69062428012,-3.07088612516
lightgbm,1,10,1,4341,-0.000707620115386,-6.19875221078,0.434843836478,-14.2551226228,0.416954618751,0.703985256853,-3.07177892089
lightgbm,1,10,2,4341,-0.000714653150805,-6.26036160105,0.417793683237,-14.9843376103,0.425478000461,0.69799585349,-3.10230932765
lightgbm,1,10,3,4341,-0.000665730902551,-5.83180270635,0.424933549164,-13.724034541,0.426169085464,0.7000691085,-2.88993784797
lightgbm,1,10,4,4341,-0.000717636018302,-6.28649152032,0.420287543818,-14.9575965617,0.409813407049,0.694770790141,-3.11525795545
lightgbm,1,10,5,4341,-0.000735419004427,-6.44227047878,0.431448375651,-14.9317295935,0.413038470399,0.706979958535,-3.19245389822
lightgbm,1,10,6,4341,-0.000809474101254,-7.09099312698,0.433265772325,-16.3663819759,0.411886662059,0.717806956922,-3.51392707354
lightgbm,1,10,7,4341,-0.000719465485857,-6.30251765611,0.433057002207,-14.5535521282,0.419718958765,0.711817553559,-3.12319967411
lightgbm,1,10,8,4341,-0.000678215203191,-5.94116517995,0.430884828746,-13.7882904748,0.422252937111,0.709974660217,-2.94413219705
lightgbm,1,10,9,4341,-0.000774622479019,-6.7856929162,0.433942622412,-15.6373044862,0.407740152039,0.695692236812,-3.36263618142
lightgbm,1,10,10,4341,-0.000733203725732,-6.42286463741,0.435625561481,-14.7440031195,0.415802810412,0.696383321815,-3.1828373734
lightgbm,1,10,11,4341,-0.000670596500578,-5.87442534506,0.438497537343,-13.3967122841,0.430315595485,0.697765491822,-2.91105940901
